,Cleaned Data
85, would rather see joan  arc coming   full tilt  horseback  charlotte corday   dagger  madame fleury   bill   heard  said    possible  live comfortably  large capital  debts     foundpg 15   said fontaine still brushing  hat  however    brushing   world could benefit
86,  debts must   respectable scale answered marsac something like seventy  eighty thousand francs
87, dont believe though  everything  owe would mount   ten thousand francs
88, felt  humiliated   day  one   young fellows   staff mere reporter     editorial writerboasted  owing  tailor alone  much   owe altogether
89, could  help translating hundreds  thousands  said  owed  tailor nearly seven thousand francs     quite seven hundred
90,  saw   youngster respected     moment  maurepas  editorinchief asked   breakfast   next day
91,  obliged  decline  account   infernal shoes   said      sent    minister  public instruction pg 16 marsac said fontaine  pause      cheerful   midst   difficulties    heard  little man   laughing philosopher attained  goal   wisdom   weeping philosopher stood whimpering   startingpost
92, long face pay bill
93, sour temper
94,depend upon  fortune looks   smiling faces    try  keep mine ready  welcome  fontaine went    marsac  finished  screen took   coat   needle  thread began sewing awkwardly   whistling like bird meanwhile
95,  midst   came knock   doornot whack like madame schmids  tap like landaiss  knock delicate yet firm polite  peremptory
96,marsac turned pale
97,nevertheless  hustled   coat  opened  door   best airwhich   fine airpg 17 indeedand  landlady madame fleury entered
98,madame fleury  handsome woman   fiveandthirty  fine dark eyes  carriage full  grace  dignity  moreover  exhibited selfpoise  selfpossession  prime minister might  envied
99,   simply dressed  became  morning   simplicity    kind  costs
100,marsac courteously placed chair  
101,  glad  find   home monsieur marsac  madame fleurys first words   politest greetings   exchanged
102,   seen  go     day  two  thought perhaps   ill  trifle mere trifle answered marsac  much readiness littlepg 18 dinner  ministerial housethose fellows give one  lots  champagneand  inherit gout   gave  touch  pray excuse  slippers
103, soon  fontaine returns  shall put   shoes  go  little walk  seeing madame fleurys handsome face assume  business expression  hastened  add  wonderfully well   looking
104,  blooming like rose thank  answered madame fleury calmly
105, house like    certain lodgers    compelled  call  occasionally   way  business   know madame continued marsac    ceased  examine madame fleurys features     beautiful portrait  statue    never set eyes     picture   salon  year  might  taken  
106,  called springtime pg 19 young girl standing   almondtree  bloom
107, girls faceso fresh  lovelyis simply  madame fleurys discouraging reply    business  business monsieur marsac  must  attended  marsac kept       heard word
108, cant   life   recall  artists name   remarked aloud madame fleury must  sat   charming face   distinguishedlooking man  stood next  said  english   would give thousand pounds  know madame fleury  wish   accepted  offer responded madame fleury  tone  would  disconcerted talleyrand  never   life would thousand pounds  even thousand francs   acceptable marsac however    abashed exclaimed enthusiastically         offer  pose  pg 20 nymph  goddess
109,bouguereau    highpriced fellows  simply  tumbling  one another   eagerness  paint  monsieur marsac said madame fleury  tone  velvet softness  marsac perfectly understood  shuddered  hear   talking business    talking art replied poor marsac
110,   kindly recall  date continued madame fleury
111,marsac taking   almanac began turning  leaves
112,   20th  february  mused
113,let  seewhat happened   20th  february
114,ah   
115,   twentyfifth birthday    come  receive  felicitations nonsense monsieur marsac replied madame fleury    tone  deadly sweetness
116,   day  rent  due    come  see    prepared  pay  andpg 21 also  arrears  two months  still owe marsac merely shook    several minutes   unbroken silence   room  meanwhile closely attentive   
117, last madame fleury spoke
118, seems    two young men   talents  characterfor   found     good characters except   rent businessand  good families   able  make better living   journalism    ah madame answered marsac sorrowfully modern journalism   one essentialit requires man    accomplished ready  felicitous liar  neither  us     dont youahemtry  acquire  one essential transcendent liars madame fleury like poets  born  made
119,    great deal   notorious
120,fontaine    donepg 22 everything short  felony  bring    public    failed
121,  tried  drown    seinewith lifepreservers   course   police found  lifepreservers  us  instead  making us favourably known humphwe  glad enough  hush   affair
122,  brought   horrible charges     print  nobody appeared   surprised     public   indifference seemed  take   granted   worst  true
123,  newspaper  took  trouble  investigate  sent reporter    illluck would    fellow caught us waltzing   others arms  joy     got dinner invitationand     anything  could  called dinner  three weeks
124, circumstances  indeed desperate
125,yesterday    money  fontaine bought two loaves  bread
126, reproached  forpg 23  extravagance  buying  much bread   words marsac managed  cover dexterously box  cigars    madame fleury   noticed
127,  indeed poverty said madame fleury   feeling  marsac seeing   little touched continued eagerly   tried everything
128, sent play  manager    notice   taken      write    didnt believe  would draw
129, course  wont draw shut    managers box
130, never expected   draw    produced
131, sent    name  fontaine    aristocratic  marsac
132,fontaine  know  graveyards full  noble ancestors   like napoleon   first   family
133,  sent picture called  rough sea   salon also   name  fontaine 24 one   judges said  thing made  whole committee illit   realistic  presumeand yet  rejected  madame fleurys eyes softened   glint  widows smile upon  handsome mouth  said gently  moment  youhas either one  youever thought ofahemmarriage  way    troubles often answered marsac promptlythat   fontaine
134,     victimthe iphigenia   speak
135,     two things  dreaddeath  marriage
136, must die   need  marry
137,  sworn   never  taken alive madame fleury blushed smiled  murmured  men marry  dont
138,   marry without qualm true answered marsac gravely    men   pick uppg 25 poisonous snake  dangle    air
139,    one  
140,   taste  dangling poisonous snakes
141,  afraid     stands monsieur fontaine   subject   brave  rashness
142, believe  fully capable  marrying
143, fact fontaine seems   penchantpg 26  mademoiselle claire duval daughter  duval  rich old brewer   niecemademoiselle delphine duvalwho   gone  live   said madame fleury  liked  show  knowledge   acquaintances   two young men
144,   heard  
145, truth  since  pawned  evening clothes    seen anything   duvals
146,however  fontaine could  marry claire   paid  debts   could  pay  debts   married claire  matter seems   settled  madame fleury assumed striking attitude   chair   began  speak   insinuating softness  every word  glance  motion   told  much     friend    tell  something     may result ininan arrangement mutually advantageous  voice sank topg 27 mere whisper
147,  know   widow certainly replied marsac
148, knew    first moment  saw     cheerful air   every reason  look cheerful
149, late monsieur fleury  nothing  trouble     hour  married    day  news  brought      found   river gracious powers cried marsac  astonishment    late monsieur fleury  angel  answered madame fleury   dont believe    angel  either strange strange murmured marsac
150, departed husband   angel
151,  phenomenon
152,allow   make note    taking  notebook  gravely made memorandum
153, husband monsieur marsac   like lobster salad
154,  ispg 28 good    good     bad   intolerable
155,monsieur fleury   bad
156, last  sank  low   became janitor  medical school
157,  accused one day  stealing  valuable books  instruments  soon    found   seine
158,  supposed  committed suicide knowing    guilty
159,   see   tried  avoid  associations   affair     could  became known       husband
160, find  name  man  unpleasantly notorious  inconvenient  bear    like  change  marsac  listening intently   buried  ears   hands  appeared   thinking profoundly   minutes
161,  think madame  said   pause  reflection  could  accomplished
162, authorities  application  permit   change  name something like contempt appeared inpg 29 madame fleurys dark eyes   responded coldly   also like  protection   name   respectable man would give   pause longer   awkward ensued
163, seemed  marsac    actually felt  temperature   room falling ten degrees every second
164,  language failed    heard  saying  quavering voice  almost without   volition would    respectable man madame fleury turned  dark eyes    drew nearer
165, breathing quickened  faint pink rose   smooth cheek   said  laughing voice  also trembled little   quite respectable enough   proposals  marriage  always embarrassing  none  less     breton peasants say thepg 30 haystack chases  cow marsac felt  suddenly grow hot   suddenly grow cold
166, sat quite near madame fleury  halflaughing  brightly burning eyes fixed  
167,every detail   elegant  correct morning costume  wellshod feet  handsome  abnormally present  
168,  found  impossible  raise  eyes   face
169,  clear idea   mind  frantic fury towards  women   present day   foresaw would make  bad quarters   hour     undergoing common enough  men   future
170,  madame fleury marsacs embarrassment   lost    although new woman   still woman  womanly pride impelled   control  slight tremor   nerves  say  voice studiedly cold   mere matter  business   convenience   pg 31  gave marsac   thought loophole  escape   said hurriedly  madame   innocence  regarded marriage  matter  sentiment imagine  chagrin though  madame fleury smiling  blushing like girl replied well monsieur marsac       marsac saw  moment  pit   dug     preferred  play  part  poltroon  stepping  
171, turned  fidgeted   chair  looked    window    street hoping  see fontaine returning  every moment  situation grew  appalling
172,presently  managed  say    forty man   young  marry     forty    old madame fleury surveyed     cool contempt  seemed  leave blisters  
173, brilliant idea came   32  glanced  madame fleury  saw  well  felt  rage rising   heart  
174, tried  speak calmly  naturally   words  jerked     stammering  stuttering     gggood madame   feel  pleasedno   mean honouredthan   explainexpress  
175,  know  fontaine    lived together since  boyhood
176,  nobody      shared everything  brothers
177, dddo  think  quite fair    like pig accept  dazzling offer without giving fontaine chance   blunderingly enough spoken   served
178,marsac saw  moment  madame fleury would much rather    killed   married     spoke  cold dignity made  feel like mouse   exhausted airreceiver
179,pg 33  dont know     right    monsieur fontaine  really  superior man  consequently better suited    door   moment flew wide open  fontaine rushed inhis coat mass  mud  rags   trousers slit   knee   hip      marsacs shoes
180,without observing madame fleury  sat little  one side  burst    good marsac  shoemaker said three francs   shoes  seeing madame fleury  stopped overwhelmed  embarrassment
181,   lady  quietly remarked  marsac  accounts   story   cabinet dinner   gout      added   air   finest sarcasm  see  earthly reason   monsieur marsac   succeed brilliantly  journalism pg 34 marsac  quite disposed  let fontaine take  part   situation   said  word  fontaine exclaimed  know    come  madame fleury
182,   rent   show  superior intelligence  monsieur marsac     greatest difficulty  making  understand   came  responded madame fleury
183,  awfully sorry kept  fontaine   havent sou except thisholding  two francsand    accident   way  ruined   coat  trousers  marsac   shoes   dont know   shall  fontaine stopped half crying
184,  suggest something said madame fleury showing  amazing calmness
185,  go    ground twice   determined  change  name  condition    paused  effectpg 35  marsac came unexpectedly   assistance
186,fontaine said  solemnly    true friend  
187, soon  madame fleury mentioned   offered   hand fontaine looked  marsac supposing either     friend  gone crazy  marsacs cool demeanour proved    least  sane
188,fontaine   mouth open  dumb  astonishment gazed first  marsac    madame fleury
189,  speechless  happiness cried marsac
190, knew  would  delighted
191, see marrying runs  fontaines family
192, father  mother  married   grandparents   sides  married  even  greatgrandfathers  greatgrandmothers  married
193,isnt   fontaine fontaine still dazed mumbled  dont know pg 36 fie  bad man replied marsac laughing
194,pray madame fleury dont believe 
195, know    talking    assure     people  fontaines family  married madame fleury  rose majestically
196,gentlemen  matter must  settled  
197,   choice marriage   eviction within twentyfour hours    arrears  rent paid fontaine   gradually returning   senses said  madame   impossible
198,marsac   shoes    clothes     choose  accept  proposition monsieur fontaine coolly interrupted madame fleury    put   street within twentyfour hours    reach  street    arrested  nonpayment  rent    go   street without  coat  trousers  shall certainlypg 37  arrested answered fontaine desperately
199,madame fleury shook     whole affair  nothing  
200,marsac advancing  fontaine whispered   ear promise 
201,promising isnt marrying  know
202, promise       cant
203, wont  
204,  
205,  known several men whopg 38  escaped   lives  widows fontaine thus urged  marsac    never resisted   life looked helplessly   friend   landlady    landlady back   friend
206,  promising   marrying    worth good deal  get     room
207,madame fleury brought matters  crisis  asking smiling  shall   gentlemenan engagement   eviction fontaine could  bring   say  word   submitted silently  marsac taking  hand led   madame fleury  placing  hands together said  something dangerously near wink take  lovely hand held   
208,quaff  cup  happiness held   lips
209,madame fleury   exchange   present name one    distinguished names among  great families  francewhichpg 39  true enough  far  fontaines name  concerned
210,madame fleury whose principle    get  quickly   awkward business asked marsac  sit   write  little agreement   signed  fontaine  
211,  might   well  added  name  date   fulfilment   promise
212,let  seethis   20th  february pg 40  paused  reflected
213,marsac   seated    reflected     moment  said  31st  april    31st  april replied madame fleury
214, first  april would seem appropriate kept  marsac  gravely
215,dont trouble    sarcastic monsieur marsac replied madame fleury  cutting emphasis
216, would  admirably    marrying   otherwise   twentyninth  february     leap year oh  thought   madame fleury   condescend  notice  fling  marsac writing  slowly proceeded  draw   informal agreement  marry  marie fleury  auguste fontaine
217,fontaine  dropped limp upon pg 41 chair  sat   buried   arms  picture  misery
218, awkward  humiliating        smallest doubt  marsac   thought capable  meeting  emergency would eventually get     scrape
219, madame fleury  signed  paper marsac called fontaine  remained motionless without lifting 
220,thats  way  showing   pleased explained marsac    serious manner
221, told   would  delighted   know   moment   revelling  rapture    rather singular manner  showing    indeed said madame fleury    vain enough  think    merely  suddenness   affair   somewhat disconcerted  fontaine almost dragged    chair  marsac sullenly signed thepg 42 paper   taking possession    recommending   act  good faith   madame fleury departed   air  person   made successful stroke  business
222, soon    gone fontaine  loud groan threw    sofa
223,even marsac began   somewhat frightened   turn  affairs
224, thought   unlikely   prospect  marrying handsome young man far    social position might  really  madame fleurys mind
225,  would  mention  fears  fontaine   soon  madame fleury  safely   hearing marsac contrived  raise burst  rather hollow  hysterical laughter
226, think   imagine   could trap us    way  
227,ha
228,ha fontaines reply   depths   sofa  something  groan  howl   moanedpg 43  know marsac  love claire duval   devilish madame fleury   written promise  bagatelle cried marsac still keeping   pretence  laughter
229,  suppose  would  let  get   trap   could   got    gave  comfort  fontaine   sublime faith  marsacs powers  well   friendship
230,  spite    efforts marsac pretty soon   give   hilarious view   situation
231,fontaine lay   sofa groaning kicking  occasionally sighing   name  claire duval
232,marsac looked    window  prospect made  chiefly  chimneypots  fine small rain  began  fall    first time realised  truly desperate situation
233, half  hour  silence   part  complainings  fontaines shadow   old spirit came back  marsac
234,pg 44  one  us   rich relation  could murder
235,  dont believe  two fellows   world    near relations   fontaine   time  sitting    sofa    hands
236,presently  said  gloomy indifference    uncle  americanuncle mauricewho     france  twentyfive years   last  heard     living  fifteen cents day  new york
237,  heard  roundabout way    dead    nothing  leave anybody  likely sighed marsac
238, american   money  soon parted  next moment fontaine believed   last  greatest  misfortunes  befallen  friend  marsac leaping  began  charge   room shouting   top   lungs
239,hurrah
240,hurrah
241, unclepg 45 maurice  died   left  fortune
242,huzza
243, glorious idea
244,huzza  uncle maurice fontaine stunned  first went   marsac   capering wildly    voice tremulous  apprehension   deadly pale said  dear kind marsac  quiet pray
245,  taken  misfortunes  much  heart    unbalanced 
246,sit  awhile    moneythe poor lad   sou   two francsquite enough  several days   piteous  see  weak pretences
247, rattled  two francs   pocket  tried  smile
248,marsac seeing  dreadful thought  fontaines mind stopped  whooping  seizing fontaine   arms cried   honest little simpleton
249, course uncle maurice hasnt  died  left  fortune  let  world think   see   fortunespg 46   made
250, would paragraph like  sound   papers   happy  announce  monsieur auguste fontaine  brilliant young journalist  inherited fortune oflet  see   easy  give  two million francs  one millionfrom  lately deceased uncle monsieur maurice fontaine  new york  celebratedwineimporter   say thats good decent business
251,  work  paragraph   tell   uncle maurice going   traditions   family  entering trade    sort  thing
252,trust   get   fontaine   delighted  finding marsac   crazy     could  nothing  hug   say marsac    frightened   began  talk    may kill   uncles  aunts    find   kill
253, willwill  dazzling story  believed  uncle whatshisname pg 47  dear fellow replied marsac  high goodhumour dont  know   large   human race  goes  actually begging   humbugged
254,  ever know wildly improbable story started yet  wasnt readily believed
255,     contradicted     believed
256,  rate  cant  us  harm nothing  harm us   present straits well  people  believe  uncle maurice began fontaine anxiously  marsac cut  short
257,believe  uncle maurice
258,  believe     created  myselfthat   uncle maurice
259,dear kind old chap
260, feel      shaken hands    persisted fontaine  madame fleury  believe     fortune wouldnt    much  difficult    escape        much betterpg 48 condition  fight 
261,  boy dont refuse fortune  two million francs even  paper
262, continued marsac producing  corner  palette brushes   unfinished portrait  spanish bullfighter look
263,  make  portrait  uncle maurice    bold strokes  bullfighter assumed  appearance  hale old gentleman  sixty  black coat  white tie
264,    time  lose cried  throwing   palette  brushes
265, ought     afternoon papers
266,   clock   churchtower striking eleveni shall  time yet   go  press
267,give   shoes fontaine kicked    marsac put  
268,  hat  betterpg 49  mine fontaine ran  fetched  hat
269,let  see  paragraph ought   written  marsac seated     fontaine hung     rapidly wrote half page   rising  going  cried keep   heart old boy
270,   married yet   long way    monsieur fleury left alone fontaine remained silent  overwhelmed   various  startling incidents   befallen   morning
271, little one knows  thought   hour may bring forth
272,   eleven oclock since ten oclock   become engaged   married   found longlost uncle   died  left  two million francs  slight sound caused   raise    saw letter pushed   door
273, ran forward  opened    literally fell overpg 50   chair  amazement  chagrin
274, letter ran  dear nephew augustethe report  reached  family    dead  erroneous
275,   much alive  think  soon revisiting  native land
276,   hard struggle   may  meet   flattering reception   family       really near relative   feel quite able  take care  
277, may appear   moment    meet    affectionate uncle maurice fontaine
278,fontaine rallied enough  run   window  call marsac back
279,    late
280,marsac   slip  white paper   hand   turning  corner
281,pg 51 chapter ii marsac returned within three hours   confronted  fontaine  pale face  uncle maurices letter
282,  marsac  staggered
283, paragraph  already  print   afternoon papers containing    cried   street
284, read  letter carefully  laid   saying   impossible    return
285,living  fifteen cents day  twenty years must  impaired  constitution   degree   cannot stand  voyage fontaine already   depths  woe seemed  sink deeper  deeper
286,  marsac whose cheerfulness never left 
287, day  two friends sat   garret unable  accountpg 52  fontaines dilapidated clothes  marsacs want  shoes  go   get anything  eatfor  could still go  restaurant near  newspaper office  get dinner  credit
288,  shrank  admitting  necessities  asking   advance   business office   newspaper
289,marsac spent  day  patching  cleaning  awkward industry fontaines torn coat  trousers
290,never  fontaine loved  admired  
291, sang  whistled  day long made jokes  pretended   without food  fire  rather  amusing experience
292, nightfall  held   torn  soiled coat  trousers  inspection
293, poor fellow  done  best    clearly  presentable
294, even    courage  spirits desert 
295, laughed    failure  said gaily well  boy  tale   make  tell   get richpg 53  half  pleasure  rich people consists  telling  happy       second shirt   backs   moment servant   establishment opened  door without ceremony  thrust  huge box   name  charlevois tailor  
296,scarcely   door shut   two young men tore open  box
297, lay several suits   handsomest mourning clothes imaginable  hats  gloves  match   top  everything  pinned letter
298,   charlevois one   best tailors  paris saying    taken  liberty  sending monsieur auguste fontaine several suits  clothes asking  inspection  
299,  read   papers  evening  monsieur maurice fontaines death  wouldpg 54  glad  supply monsieur auguste fontaines mourning
300,also   son    stationery business   enclosed  samples  stationery
301, two young men gazed intently   
302, without word fontaine  marsacs help put   evening suit   topcoat  crapecovered hat  black gloves
303, certainly looked  handsome   new outfit
304,  almost  first time   life    ever  really well dressed   elegantly simple costume brought   aristocratic beauty
305,marsac looked     delight  mother  beautiful daughter dressed   first ball
306,fontaine walked    surveying   satisfaction   cracked mirror
307, examined  old coat  trousersthey looked worse  ever  comparison
308, silence said eloquently  cannot take  gentlemanly habiliments  55  put  hat  
309, marsac  moved toward  door  paused
310,   rubicon said marsac
311, rubicon  passed replied fontaine stepping 
312, went   restaurant    credit  dinner   seen  twenty persons   acquaintance
313,  approached  desk  entering  cashier handsome girl  glancing   afternoon paper containing  paragraph  uncle maurice
314, recognised fontaine    seen 
315,  wish private room gentlemen  asked
316,certainly answered marsac solemnly    thought   
317,auguste  would rather  dine  public today fontaine shook    two friends  silence fontaine   eyes bent   mourning hat  carried went  private diningroom 56  obsequious waiter brought card
318,marsac ordered  excellent dinner  champagne
319,  came  sight    almost  much   poor halfstarved young fellows
320,   first time   really dined  weeks
321, made  excuse  send  waiter    room   hugged    began  dance wildly  barely  time   returned  scuttle back   chairs  pull long faces   devoured fish flesh  fowl entres horsdoeuvres  everything else eatable  
322,marsac   waiters absence begged fontaine  spare  candelabra  fontaine caught marsac   act  chewing  paper   marrons glacs
323,pg 57  said marsac   waiter     room   kept    trot may  called  first dress rehearsal
324,   appear   public tomorrowyou   heir   uncle maurice    friend   nephew   uncle   think   deceived  waiter anxiously asked fontaine
325,perfectly
326, never saw us order  dinner    hope   see us order good many  like 
327,look solemnhe  coming   waiter coming  found marsac urging fontaine  eat  seemed     depths  despondency
328,  time came  feeing  man fontaine said sadly  marsac must pay tonight
329, forgot   changed  clothes certainly replied marsac clapping  hand   pocket  producing  two francsthe last    earth    taken  precautionpg 58  bring  himand handing    waiter
330, two francs made everybody   restaurant believe  story  fontaines fortune
331,  dinner  lasted  three hours  went home  fontaine wrote note   blackedged paper   editor   paper la lune asking  leave  absence   days owing   loss  near relative
332,marsac took    office
