,Cleaned Data
10,chapter i madame schmid round and red with the spotless lappets of her washerwomans cap flapping angrily was plainly in rage and the three loud whacks she gave at the garret door of 17 rue montignal caused two young gentlemen on the other side of the door to quake visibly
11,one of them fontaine ran incontinently into closet and hid while marsac the other after ghastly pretence of joke about madame schmids whacks sounding like the three given at the comdie franaise before the curtain goes up stalkedpg 2 with dignity to corridor door
12,but madame schmid bouncing in suddenly marsac as suddenly whisked out of sight
13,madame schmid was of that coarse buxom beauty common enough in her class
14,she had one year been elected queen of the washerwomen in that picturesque festival peculiar to paris and it had been said that fear of her stout arm and robust tongue had some share in her election
15,but she had good heart along with her vile temper and as she planted her basket viciously on the floor and whipped out tremendously long bill her quick eye took in the poverty of the surroundings and she was softened in spite of herself
16,however as one whistles going through graveyard so madamepg 3 schmid always stormed the more when her excellent heart prevented her from taking stronger measures
17,the room was excessively shabby
18,a motheaten sofa and large but rickety covered with newspapers and the implements of the journalists trade were the principal articles of furniture
19,the light of gray day shone dully in at the curtainless windows
20,a number of pipes together with cracked mirror ornamented the mantel while scattered about the room were violin and case an easel and painting materials
21,madame schmid belonged to that large class of persons who believe that man who engages in any form of art is necessarily loafer
22,the sight of the painters tools the violin and especially the abundance of pens ink and paper acted on her like red rag on bull and gave her the excuse she wanted to raise tempest
23,first she exclaimed scornfully pg 4 painters next more scornfully still fiddlers and last with concentration of contempt that would have made her fortune at any theatre in paris journalists then she began to bawl in voice like an auctioneer msieu marsac
24,msieu fontaine
25,oh i know you are somewhere about
26,this is an old dodge running away when i come with my bill
27,you owe me both of you for seven weeks washing
28,seven weeks have i rubbed and scrubbed for you and i have not seen the colour of my money yet madame schmid stopped for moment to take breath and then noticing the door leading into the corridor darted to it and began to tug vigorously at the knob
29,but marsac who was holding it on the other side was madame schmids superior in muscle though not in weight and the doorpg 5 resisted successfully
30,she then marched over to the closet door but fontaine followed marsacs tactics and madame schmid grew still redder in the face and shorter of breath with no better luck than at the corridor door
31,at that moment very welldressed little man entered the room after an almost imperceptible knock and unrolling bill about yard long began gentlemen i have little bill here and then raising his eyes he said in surprised voice why there arent any gentlemen here not if gentlemen pay their bills monsieur landais answered madame schmid sarcastically who recognised an old acquaintance in monsieur landais
32,madame schmid had had good obedient alsatian husband whom she had talked to death some years before andpg 6 landais and the late lamented schmid were from the same town
33,landais silently held out his bill and madame schmid flourished hers in his face with an air as if landais owed the money instead of marsac and fontaine
34,journalists are bad lot i can tell you rapidly began madame schmid who liked to have the first as well as the last word and lazy lot too
35,while you and i work for our living with our arms and our legs monsieur marsac and that pretty boy fontaine do nothing but sit in an easychair and write all day long
36,and they call that work i only wish i could sit in an easychair and amuse myself with pen all day instead of toiling over cuttingboard answered the tailor ruefully
37,painting and fiddling when they are not scribblingno wonder they cant pay their washbills
38,i dare say they think washing is an elegant amusement 7 im sure i dont know how ill ever get my money
39,writing them letters is sinful waste of paper and ink and calling to see them is sinful waste of time
40,that marsac always makes me laugh in spite of myself
41,the last time i saw him i put on very determined air here little landais assumed fierce look and asked him why my bill had not been paid
42,he told me that he and monsieur fontaine threw all their bills into basket and every six months they drew one out at random and paid that billand it so happened they had never drawn my bill
43,it was wretched joke but it made me laugh and i assure you the first thing i knew i was asking the fellow if he and his chum wanted anything in the tailoring line and he chucks me under the chin and tells me im so young and handsome ill be getting marriedpg 8 again and then like you i turn fool and laugh and pouf
44,goes my bill moaned madame schmid wagging her dolefully while landais shook his like chinese mandarin
45,then said landais wearily what are we climbing up all these stairs for god knows answered madame schmid
46,but i have no more time to waste on them so ill leave my bill and go so will i said landais and they laid their bills on the rickety and went out madame schmid clacking angrily all the way downstairs
47,the minute they disappeared fontaine slipped out of his closet and locked the door after them
48,he was handsome fairhaired fellow of fiveandtwenty with the most winning air in the world but it was plain at the first glance that with all his grace and intelligence he was man to be led by his affections
49,pg 9 i wish there was drawbridge outside this door he muttered and then began to rummage about the room
50,i wonder where marsacs purse is he continued to himself
51,ah here it isand only two francs five centimes in it and the shoemaker wants three francs for halfsoling marsacs shoes and then he began to call for marsac meanwhile going through the empty form of searching through his own pockets
52,in moment marsac entered the room
53,it was easy enough to see who was the master mind there
54,marsac was not so regularly handsome as fontaine but his dark bright eyes and captivating smile seemed to radiate brilliance all round him
55,after the first moment of seeing these two young men together it was not necessary to explain their relationspg 10 to each other
56,fontaine could not look at marsac without an almost feminine expression of fondness and tender reliance coming into his eyes and at the bottom of his heart he thought marsac the most brilliant capable and lovable of men
57,marsac on his part could not look or speak to fontaine without showing the affection of an elder for younger brother
58,they had been schoolmates ten years before at provincial college
59,from the first moment of their meeting they loved each other
60,fontaine was of the best blood of the province but he had neither father nor mother nor brother nor sister nor any near relative living
61,his was one of those hearts which must love something and he could not help loving marsac tall lithe boy older than he and quite able to fight fontaines battles as well as his own
62,marsac like fontaine was fatherless and motherless
63,he was educated frompg 11 fund for the sons of poor gentlemen which the recipient was expected to return when he was able
64,after taking all the honours in his classes and being graduated with the highest distinction marsac went to paris along with fontaine both to seek their fortunes in journalism
65,they soon got work but they made precious little money
66,marsac inspired with but one idea sent every franc he made back to the fund and repaid the sum advanced in an astonishingly short time
67,but it was at the cost of getting into debt on all sides
68,neither he nor his chum had that commercial knack that intimate knowledge of the purchasing power of franc which comes naturally to young men whose lives have been spent in large city
69,marsac was of buoyant temper and constantly expected something to turn up which would relieve them of all their embarrassments
70,meanwhile confident of the honesty of his intentions he met his debts dunspg 12 and difficulties with an incomparable archness and goodhumour
71,when fontaine asked him for franc for the shoes his reply was a franc
72,do you think i have complete counterfeiting apparatus that i can produce such sum as franc at moments notice then said fontaine ruefully who would willingly have given his only pair of shoes to marsac would he accept them i dont know what i am to do
73,the shoemaker said three francs or no shoes and i have only two francs five centimes
74,you have already spent enough on them to have bought new pairnew vamps in december new uppers in january and now in february new soles go along with you cried marsac
75,tell the shoemaker i have bad case of confluent smallpox and i dare say he will be glad to let you have the shoes for nothing
76,but give me that pastepot
77,our friends madamepg 13 schmid and monsieur landais have left us souvenirs which i can put to use and he began deftly cutting the bills which were on stout paper into square pieces to mend the screen with which like everything else in the room had holes in it
78,i am afraid the smallpox story wont be judicious subterfuge was fontaines reply
79,what did you do with the eleven francs we had yesterday i bought four bottles of wine box of cigars and two loaves of bread with it why were you so extravagant about bread asked marsac very cheerfully working away at the old screen
80,if you squander our substance on luxuries like bread we shant have anything left for necessaries like wine and cigars
81,the fact is he continued when man enters journalism he ought to have an education suitable to the profession
82,instead ofpg 14 going to the university i should have been taught the shoemaking and tailoring trades
83,how often have i heard that no learning comes amiss in journalism
84,now if i had the most rudimentary knowledge of cobbling i could have mended those shoes myself at all events said fontaine brushing his hat i am rather glad to be out of the way now for this is the very day and hour that madame fleury always appears to ask for the rent there cried marsac for the first time showing impatience i have been trying for two weeks to forget what day the rent is due and had just succeeded when you reminded me of it
85,i would rather see joan of arc coming at me full tilt on horseback or charlotte corday with her dagger than madame fleury with her bill i have heard it said that it is possible to live comfortably on large capital of debts but we have not foundpg 15 it so said fontaine still brushing his hat which however not all the brushing in the world could benefit
86,but the debts must be on respectable scale answered marsac something like seventy or eighty thousand francs
87,i dont believe though that everything we owe would mount up to ten thousand francs
88,i felt so humiliated the other day when one of the young fellows on the staff mere reporter while i am an editorial writerboasted of owing his tailor alone as much as we owe altogether
89,i could not help translating hundreds into thousands and said i owed my tailor nearly seven thousand francs when it is not quite seven hundred
90,but i saw that the youngster respected me more from that moment and maurepas the editorinchief asked me to breakfast the very next day
91,i was obliged to decline on account of these infernal shoes but i said it was because i was sent for by the minister of public instruction pg 16 marsac said fontaine after pause how can you be so cheerful in the midst of our difficulties have you not heard my little man that the laughing philosopher attained the goal of all wisdom while the weeping philosopher stood whimpering at the startingpost
92,does long face pay bill
93,or sour temper
94,depend upon it fortune looks for the smiling faces and so i try to keep mine ready to welcome her fontaine went out then and marsac having finished the screen took off his coat and with needle and thread began sewing awkwardly on it whistling like bird meanwhile
95,in the midst of it came knock at the doornot whack like madame schmids nor tap like landaiss but knock delicate yet firm polite but peremptory
96,marsac turned pale
97,nevertheless he hustled on his coat and opened the door with his best airwhich was very fine airpg 17 indeedand his landlady madame fleury entered
98,madame fleury was handsome woman of about fiveandthirty with fine dark eyes and carriage full of grace and dignity and moreover she exhibited selfpoise and selfpossession which prime minister might have envied
99,she was very simply dressed as became the morning but the simplicity was of the kind that costs
100,marsac courteously placed chair for her
101,i am glad to find you at home monsieur marsac were madame fleurys first words after the politest greetings had been exchanged
102,i had not seen you go in or out for day or two and thought perhaps you were ill a trifle mere trifle answered marsac with much readiness  littlepg 18 dinner at ministerial housethose fellows give one such lots of champagneand i inherit gout and it gave me touch so pray excuse my slippers
103,as soon as fontaine returns i shall put on my shoes and go for little walk then seeing madame fleurys handsome face assume its business expression he hastened to add how wonderfully well you are looking
104,you are blooming like rose thank you answered madame fleury calmly
105,in house like this there are certain lodgers whom i am compelled to call on occasionally in the way of business do you know madame continued marsac who had not ceased to examine madame fleurys features as if she were beautiful portrait or statue which he had never set eyes on before there is picture in the salon this year that might be taken for you
106,it is called springtime pg 19 young girl standing under an almondtree in bloom
107,the girls faceso fresh so lovelyis simply yours madame fleurys discouraging reply to this was business is business monsieur marsac and must be attended to marsac kept on as if he had not heard word
108,i cant for the life of me recall the artists name but i remarked aloud madame fleury must have sat for this charming face and very distinguishedlooking man who stood next me said in english then i would give thousand pounds to know madame fleury i wish you had accepted his offer responded madame fleury in tone that would have disconcerted talleyrand for never in my life would thousand pounds or even thousand francs be more acceptable marsac however not at all abashed exclaimed enthusiastically then all you have to do is to offer to pose for pg 20 nymph or goddess
109,bouguereau and all those highpriced fellows will simply be tumbling over one another in their eagerness to paint you monsieur marsac said madame fleury in tone of velvet softness which marsac perfectly understood and shuddered to hear i am talking business and i am talking art replied poor marsac
110,if you will kindly recall the date continued madame fleury
111,marsac taking up an almanac began turning the leaves
112,this is the 20th of february he mused
113,let me seewhat happened on the 20th of february
114,ah i have it
115,it is your twentyfifth birthday and you have come to receive our felicitations nonsense monsieur marsac replied madame fleury with the same tone of deadly sweetness
116,it is the day your rent is due and i have come to see if you are prepared to pay it andpg 21 also the arrears of two months you still owe marsac merely shook his  and for several minutes there was unbroken silence in the room each meanwhile closely attentive to the other
117,at last madame fleury spoke
118,it seems to me that two young men with your talents and characterfor i have found you both to have good characters except for this rent businessand of good families should be able to make better living out of journalism than you do ah madame answered marsac sorrowfully modern journalism has but one essentialit requires man to be an accomplished ready and felicitous liar and neither of us is that then why dont youahemtry to acquire that one essential transcendent liars madame fleury like poets are born not made
119,and then there is great deal in being notorious
120,fontaine and i have donepg 22 everything short of felony to bring ourselves before the public but we have failed
121,we have tried to drown ourselves in the seinewith lifepreservers on of course but the police found the lifepreservers on us and instead of making us favourably known humphwe were glad enough to hush up the affair
122,we have brought the most horrible charges against each other in print but nobody appeared at all surprised at them and the public by its indifference seemed to take it for granted that the worst was true
123,the only newspaper which took the trouble to investigate it sent reporter here and as illluck would have it the fellow caught us waltzing in each others arms for joy because we had just got dinner invitationand we had not had anything that could be called dinner for three weeks
124,our circumstances are indeed desperate
125,yesterday we had some money and fontaine bought two loaves of bread
126,i reproached him forpg 23 his extravagance in buying so much bread with these words marsac managed to cover dexterously box of cigars on the which madame fleury had not noticed
127,that is indeed poverty said madame fleury with some feeling and marsac seeing she was little touched continued eagerly we have tried everything
128,i sent play to manager and the only notice he has taken of it has been to write me that he didnt believe it would draw
129,of course it wont draw shut up in the managers box
130,i never expected it to draw until it was produced
131,i sent it under the name of fontaine as being more aristocratic than marsac
132,fontaine you know has graveyards full of noble ancestors while i like napoleon am the first of my family
133,then i sent picture called a rough sea to the salon also under the name of fontaine 24 one of the judges said the thing made the whole committee illit was so realistic i presumeand yet they rejected it madame fleurys eyes softened and with glint of widows smile upon her handsome mouth she said gently after moment have youhas either one of youever thought ofahemmarriage as way out of your troubles often answered marsac promptlythat is for fontaine
134,he was to be the victimthe iphigenia so to speak
135,as for myself there are two things i dreaddeath and marriage
136,i must die but i need not marry
137,i have sworn i will never be taken alive madame fleury blushed smiled and murmured more men marry than dont
138,most of them marry without qualm true answered marsac gravely and there are men who will pick uppg 25 poisonous snake and dangle it in the air
139,but i am not one of them
140,i have no taste for dangling poisonous snakes
141,i am afraid of them and how stands monsieur fontaine on this subject he is brave to rashness
142,i believe him fully capable of marrying
143,in fact fontaine seems to have penchantpg 26 for mademoiselle claire duval daughter of duval the rich old brewer there is niecemademoiselle delphine duvalwho has just gone to live with them said madame fleury who liked to show her knowledge of the acquaintances of the two young men
144,i had not heard of that
145,the truth is since we pawned our evening clothes we have not seen anything of the duvals
146,however as fontaine could not marry claire until he paid his debts and he could not pay his debts until he married claire the matter seems to have settled itself madame fleury assumed striking attitude in her chair and then began to speak with an insinuating softness in every word and glance and motion you have told me much about you and your friend now i will tell you something about myself and it may result ininan arrangement mutually advantageous her voice sank topg 27 mere whisper
147,as you know i am widow certainly replied marsac
148,i knew it the very first moment i saw you you had such cheerful air i have every reason to look cheerful
149,the late monsieur fleury was nothing but trouble to me from the hour i married him until the day the news was brought me that his had been found in the river gracious powers cried marsac in astonishment was not the late monsieur fleury an angel no answered madame fleury and i dont believe he is an angel now either strange strange murmured marsac
150,a departed husband not an angel
151,this is phenomenon
152,allow me to make note of it and taking out notebook he gravely made memorandum
153,a husband monsieur marsac is very like lobster salad
154,when it ispg 28 good it is very good and when it is bad it is intolerable
155,monsieur fleury was very bad
156,at last he sank so low that he became janitor in medical school
157,he was accused one day of stealing some valuable books and instruments and soon after his was found in the seine
158,it is supposed he committed suicide knowing himself to be guilty
159,i did not see the  and tried to avoid all associations with the affair but do what i could it became known that he had once been my husband
160,i find the name of man so unpleasantly notorious very inconvenient to bear and i should like to change it marsac after listening intently to this buried his ears in his hands and appeared to be thinking profoundly for some minutes
161,i should think madame he said after this pause of reflection that could be accomplished
162,the authorities on application will permit you to change your name something like contempt appeared inpg 29 madame fleurys dark eyes and she responded coldly i should also like the protection which the name of some respectable man would give me a pause longer and more awkward ensued
163,it seemed to marsac as if he actually felt the temperature in the room falling ten degrees every second
164,for once language failed him and he heard himself saying in quavering voice and almost without his own volition would that i were respectable man madame fleury turned her dark eyes on him and drew nearer
165,her breathing quickened and faint pink rose in her smooth cheek and she said in laughing voice which also trembled little you are quite respectable enough for me proposals of marriage are always embarrassing and none the less so when as the breton peasants say thepg 30 haystack chases the cow marsac felt himself suddenly grow hot and as suddenly grow cold
166,he sat quite near madame fleury her halflaughing and brightly burning eyes fixed on him
167,every detail of her elegant and correct morning costume her wellshod feet her handsome  was abnormally present to him
168,but he found it impossible to raise his eyes to her face
169,the only clear idea in his mind was frantic fury towards the women of the present day who he foresaw would make these bad quarters of an hour such as he was undergoing common enough to men in the future
170,as for madame fleury marsacs embarrassment was not lost on her and although new woman she was still woman and womanly pride impelled her to control the slight tremor of her nerves and say in voice studiedly cold it is mere matter of business and of convenience with me pg 31 this gave marsac as he thought loophole of escape and he said hurriedly i madame in my innocence have regarded marriage as matter of sentiment imagine his chagrin though when madame fleury smiling and blushing like girl replied well monsieur marsac if you will have it so marsac saw in moment the pit he had dug for himself but he preferred to play the part of poltroon to stepping into it
171,he turned and fidgeted in his chair he looked out of the window down at the street hoping to see fontaine returning and every moment the situation grew more appalling
172,presently he managed to say until he is forty man is too young to marry and after he is forty he is too old madame fleury surveyed him all over with cool contempt which seemed to leave blisters on his 
173,then brilliant idea came to him 32 he glanced at madame fleury and saw as well as felt the rage rising in her heart against him
174,he tried to speak calmly and naturally but his words were jerked out of him with stammering and stuttering you are very very gggood madame and i feel more pleasedno no i mean honouredthan i can explainexpress that is
175,but you know how fontaine and i have lived together since our boyhood
176,we have nobody but each other we have shared everything as brothers
177,now dddo you think it quite fair that i should like pig accept this dazzling offer without giving fontaine chance it was blunderingly enough spoken but it served
178,marsac saw in moment that madame fleury would much rather after that have killed him than married him and when she spoke her cold dignity made him feel like mouse under an exhausted airreceiver
179,pg 33 i dont know but that you are right after all and monsieur fontaine is really the superior man and consequently better suited to me the door at that moment flew wide open and fontaine rushed inhis coat mass of mud and rags and his trousers slit from the knee to the hip and he did not have marsacs shoes
180,without observing madame fleury who sat little to one side he burst out its no good marsac the shoemaker said three francs or no shoes then seeing madame fleury he stopped overwhelmed with embarrassment
181,not so the lady who quietly remarked to marsac this accounts for the story of the cabinet dinner and the gout and so on and she added with an air of the finest sarcasm i see no earthly reason why you monsieur marsac should not succeed brilliantly in journalism pg 34 marsac was quite disposed to let fontaine take his part of the situation then and said not word but fontaine exclaimed i know what you have come for madame fleury
182,it is the rent then you show very superior intelligence to monsieur marsac as i had the greatest difficulty in making him understand what i came for responded madame fleury
183,i am awfully sorry kept on fontaine but we havent sou except thisholding out two francsand i had an accident on the way and ruined my only coat and trousers and marsac has no shoes and i dont know what we shall do fontaine stopped half crying
184,i can suggest something said madame fleury showing an amazing calmness
185,not to go over the same ground twice i have determined to change my name and condition and here she paused for effectpg 35 and marsac came unexpectedly to her assistance
186,fontaine said he solemnly i have been true friend to you
187,as soon as madame fleury mentioned this i offered her your hand fontaine looked at marsac supposing either he himself or his friend had gone crazy but marsacs cool demeanour proved that he at least was sane
188,fontaine with his mouth open but dumb with astonishment gazed first at marsac and then at madame fleury
189,he is speechless with happiness cried marsac
190,i knew he would be delighted
191,you see marrying runs in fontaines family
192,his father and mother were married and his grandparents on both sides were married and even his greatgrandfathers and greatgrandmothers were married
193,isnt that so fontaine fontaine still dazed mumbled i dont know pg 36 fie you bad man replied marsac laughing
194,pray madame fleury dont believe that
195,i know what i am talking about and i assure you that all these people in fontaines family were married madame fleury then rose majestically
196,gentlemen this matter must be settled at once
197,you have your choice marriage or an eviction within twentyfour hours and all the arrears of rent paid fontaine who was gradually returning to his senses said but madame it is impossible
198,marsac has no shoes i have no clothes if you do not choose to accept my proposition monsieur fontaine coolly interrupted madame fleury you will be put into the street within twentyfour hours and when you reach the street you will be arrested for nonpayment of rent and if i go into the street without any coat or trousers i shall certainlypg 37 be arrested answered fontaine desperately
199,madame fleury shook her  as if the whole affair were nothing to her
200,marsac advancing to fontaine whispered in his ear promise her
201,promising isnt marrying you know
202,you promise her no you do it i cant
203,she wont have me
204,you do it
205,i have known several men whopg 38 have escaped with their lives from widows fontaine thus urged by marsac whom he had never resisted in his life looked helplessly from his friend to his landlady and from his landlady back to his friend
206,after all promising was not marrying and it was worth good deal to get her out of the room
207,madame fleury brought matters to crisis by asking smiling which shall it be gentlemenan engagement or an eviction fontaine could not bring himself to say the word but he submitted silently when marsac taking his hand led him to madame fleury and placing their hands together said with something dangerously near wink take the lovely hand held out to you
208,quaff the cup of happiness held to your lips
209,madame fleury you will exchange for your present name one of the most distinguished names among the great families of francewhichpg 39 was true enough as far as fontaines name was concerned
210,madame fleury whose principle it was to get through quickly with an awkward business asked marsac to sit down and write out little agreement to be signed by fontaine and herself
211,and it might be as well she added to name the date of the fulfilment of this promise
212,let me seethis is the 20th of february pg 40 she paused and reflected
213,marsac who had seated himself at the reflected too and then after moment he said the 31st of april there is no 31st of april replied madame fleury
214,the first of april would seem appropriate kept on marsac very gravely
215,dont trouble yourself to be sarcastic monsieur marsac replied madame fleury with cutting emphasis
216,it would do admirably if i were marrying you but otherwise not the twentyninth of february then this is not leap year oh i thought it was madame fleury did not condescend to notice this fling and marsac writing very slowly proceeded to draw up an informal agreement to marry between marie fleury and auguste fontaine
217,fontaine had dropped limp upon pg 41 chair and sat with his buried in his arms the picture of misery
218,but awkward and humiliating as it was he had not the smallest doubt that marsac whom he thought capable of meeting any emergency would eventually get him out of the scrape
219,when madame fleury had signed the paper marsac called fontaine who remained motionless without lifting his 
220,thats his way of showing he is pleased explained marsac in the most serious manner
221,i told you he would be delighted and i know at this moment he is revelling in rapture only he has rather singular manner of showing it he has indeed said madame fleury but i am vain enough to think that it is merely the suddenness of the affair which has somewhat disconcerted him fontaine almost dragged out of his chair by marsac sullenly signed thepg 42 paper and after taking possession of it and recommending him to act in good faith with her madame fleury departed with the air of person who has made successful stroke of business
222,as soon as she was gone fontaine with loud groan threw himself on the sofa
223,even marsac began to be somewhat frightened at the turn of affairs
224,he thought it not unlikely that the prospect of marrying handsome young man far above her in social position might be really in madame fleurys mind
225,but he would not mention his fears to fontaine and as soon as madame fleury was safely out of hearing marsac contrived to raise burst of rather hollow and hysterical laughter
226,to think she should imagine that she could trap us in any such way as that
227,ha
228,ha fontaines reply from the depths of the sofa was something between groan and howl and he moanedpg 43 you know marsac i love claire duval and this devilish madame fleury has my written promise a bagatelle cried marsac still keeping up the pretence of laughter
229,do you suppose i would have let you get into such trap if i could not have got you out this gave some comfort to fontaine who had sublime faith in marsacs powers as well as his friendship
230,but in spite of all his efforts marsac pretty soon had to give up the hilarious view of the situation
231,fontaine lay on the sofa groaning kicking and occasionally sighing out the name of claire duval
232,marsac looked out of the window at prospect made up chiefly of chimneypots and fine small rain that began to fall and for the first time realised their truly desperate situation
233,after half an hour of silence on his part and complainings on fontaines shadow of his old spirit came back to marsac
234,pg 44 if one of us only had rich relation we could murder
235,but i dont believe any two fellows in the world have so few near relations as we fontaine by this time was sitting up on the sofa his in his hands
236,presently he said with gloomy indifference i had an uncle an americanuncle mauricewho has not been in france for twentyfive years and the last we heard of him he was living on fifteen cents day in new york
237,then we heard in roundabout way that he was dead but he had nothing to leave anybody very likely sighed marsac
238,an american and his money are soon parted the next moment fontaine believed that the last and greatest of misfortunes had befallen his friend for marsac leaping up began to charge about the room shouting at the top of his lungs
239,hurrah
240,hurrah
241,your unclepg 45 maurice has died and has left you fortune
242,huzza
243,what glorious idea
244,huzza for uncle maurice fontaine stunned at first went up to marsac who was capering wildly about and in voice tremulous with apprehension and himself deadly pale said my dear kind marsac be quiet pray
245,you have taken our misfortunes too much to heart and they have unbalanced you
246,sit down awhile i have some moneythe poor lad had not sou but the two francsquite enough for several days it was piteous to see his weak pretences
247,he rattled the two francs in his pocket and tried to smile
248,marsac seeing the dreadful thought in fontaines mind stopped his whooping and seizing fontaine in his arms cried out you honest little simpleton
249,of course uncle maurice hasnt just died and left you fortune but let the world think so and see if our fortunespg 46 are not made
250,how would paragraph like this sound in the papers we are happy to announce that monsieur auguste fontaine the brilliant young journalist has inherited fortune oflet me see its as easy to give you two million francs as one millionfrom his lately deceased uncle monsieur maurice fontaine of new york the celebratedwineimporter i should say thats good decent business
251,i can work the paragraph up more tell about your uncle maurice going against the traditions of his family in entering trade and all that sort of thing
252,trust me to get it up fontaine was so delighted at finding marsac was not crazy after all that he could do nothing but hug him and say marsac i was so frightened when you began to talk so and you may kill all my uncles and aunts if you can find any to kill
253,but willwill this dazzling story be believed about uncle whatshisname pg 47 my dear fellow replied marsac in high goodhumour dont you know there is large of the human race that goes about actually begging to be humbugged
254,did you ever know wildly improbable story started yet that wasnt readily believed
255,and the more it is contradicted the more it is believed
256,at any rate it cant do us any harm nothing can harm us in our present straits well if people should believe in uncle maurice began fontaine anxiously but marsac cut him short
257,believe in uncle maurice
258,why i believe in him and i created him myselfthat is our uncle maurice
259,dear kind old chap
260,i feel as if i had just shaken hands with him but persisted fontaine if madame fleury should believe in him and the fortune wouldnt it be that much more difficult for me to escape from her we should be in that much betterpg 48 condition to fight her
261,no my boy dont refuse fortune of two million francs even on paper
262,why continued marsac producing from corner his palette brushes and an unfinished portrait of spanish bullfighter look
263,i will make you portrait of uncle maurice and with few bold strokes the bullfighter assumed the appearance of hale old gentleman of sixty in black coat and white tie
264,but there is no time to lose cried he throwing down his palette and brushes
265,it ought to be in the afternoon papers
266,there is the clock on the churchtower striking eleveni shall have time yet before they go to press
267,give me your shoes fontaine kicked them off and marsac put them on
268,and your hat is betterpg 49 than mine fontaine ran and fetched the hat
269,let me see the paragraph ought to be written out marsac seated himself at the and fontaine hung over him while he rapidly wrote half page and then rising and going out cried keep up your heart old boy
270,you are not married yet you are long way off from being monsieur fleury left alone fontaine remained silent and overwhelmed at the various and startling incidents which had befallen him that morning
271,how little one knows he thought what an hour may bring forth
272,it is now eleven oclock since ten oclock i have become engaged to be married i have found longlost uncle he has died and left me two million francs a slight sound caused him to raise his  and he saw letter pushed under the door
273,he ran forward and opened it and then literally fell overpg 50 on his chair with amazement and chagrin
274,the letter ran my dear nephew augustethe report which reached my family that i was dead was erroneous
275,i am very much alive and think of soon revisiting my native land
276,i have had hard struggle and i may not meet with very flattering reception from my family of whom you are my only really near relative but i feel quite able to take care of myself
277,i may appear at any moment and until we meet i am your affectionate uncle maurice fontaine
278,fontaine rallied enough to run to the window to call marsac back
279,but it was too late
280,marsac with the slip of white paper in his hand was just turning the corner
281,pg 51 chapter ii marsac returned within three hours to be confronted by fontaine with pale face and uncle maurices letter
282,for once marsac was staggered
283,the paragraph was already in print and the afternoon papers containing it were being cried on the street
284,he read the letter carefully then laid it down saying it is impossible that he should return
