,Cleaned Data
10,"Chapter I Madame Schmid, round and red, with the spotless lappets of her washerwoman’s cap flapping angrily, was plainly in rage; and the three loud whacks she gave at the garret door of 17 Rue Montignal caused two young gentlemen on the other side of the door to quake visibly."
11,"One of them, Fontaine, ran incontinently into closet and hid, while Marsac, the other, after ghastly pretence of joke about Madame Schmid’s whacks sounding like the three given at the Comédie Française before the curtain goes up, stalked[Pg 2] with dignity to corridor door."
12,"But, Madame Schmid bouncing in suddenly, Marsac as suddenly whisked out of sight."
13,"Madame Schmid was of that coarse, buxom beauty common enough in her class."
14,"She had one year been elected queen of the washer-women, in that picturesque festival peculiar to Paris, and it had been said that fear of her stout arm and robust tongue had some share in her election."
15,"But she had good heart, along with her vile temper; and as she planted her basket viciously on the floor, and whipped out tremendously long bill, her quick eye took in the poverty of the surroundings, and she was softened in spite of herself."
16,"However, as one whistles going through graveyard, so Madame[Pg 3] Schmid always stormed the more when her excellent heart prevented her from taking stronger measures."
17,The room was excessively shabby.
18,"A moth-eaten sofa, and large but rickety covered with newspapers and the implements of the journalist’s trade, were the principal articles of furniture."
19,The light of gray day shone dully in at the curtainless windows.
20,"A number of pipes, together with cracked mirror, ornamented the mantel, while scattered about the room were violin and case, an easel, and painting materials."
21,Madame Schmid belonged to that large class of persons who believe that man who engages in any form of art is necessarily loafer.
22,"The sight of the painter’s tools, the violin, and especially the abundance of pens, ink, and paper, acted on her like red rag on bull, and gave her the excuse she wanted to raise tempest."
23,"First, she exclaimed scornfully,— [Pg 4] “Painters!” Next, more scornfully still,— “Fiddlers!” And last, with concentration of contempt that would have made her fortune at any theatre in Paris,— “Journalists!” Then she began to bawl, in voice like an auctioneer,— “M’sieu Marsac!"
24,M’sieu Fontaine!
25,"Oh, I know you are somewhere about!"
26,"This is an old dodge, running away when I come with my bill!"
27,"You owe me, both of you, for seven weeks’ washing."
28,"Seven weeks have I rubbed and scrubbed for you, and I have not seen the colour of my money yet!” Madame Schmid stopped for moment to take breath, and then, noticing the door leading into the corridor, darted to it and began to tug vigorously at the knob."
29,"But Marsac, who was holding it on the other side, was Madame Schmid’s superior in muscle, though not in weight, and the door[Pg 5] resisted successfully."
30,"She then marched over to the closet door; but Fontaine followed Marsac’s tactics, and Madame Schmid grew still redder in the face and shorter of breath, with no better luck than at the corridor door."
31,"At that moment very well-dressed little man entered the room, after an almost imperceptible knock, and, unrolling bill about yard long, began,— “Gentlemen, I have little bill here—” and then, raising his eyes, he said in surprised voice, “Why, there aren’t any gentlemen here!” “Not if gentlemen pay their bills, Monsieur Landais,” answered Madame Schmid, sarcastically, who recognised an old acquaintance in Monsieur Landais."
32,"Madame Schmid had had good, obedient Alsatian husband, whom she had talked to death some years before, and[Pg 6] Landais and the late lamented Schmid were from the same town."
33,"Landais silently held out his bill, and Madame Schmid flourished hers in his face, with an air as if Landais owed the money instead of Marsac and Fontaine."
34,"“Journalists are bad lot, I can tell you,” rapidly began Madame Schmid, who liked to have the first as well as the last word, “and lazy lot too."
35,"While you and I work for our living with our arms and our legs, Monsieur Marsac and that pretty boy Fontaine do nothing but sit in an easy-chair and write all day long."
36,"And they call that work!” “I only wish I could sit in an easy-chair and amuse myself with pen all day, instead of toiling over cutting-board,” answered the tailor, ruefully."
37,"“Painting and fiddling when they are not scribbling,—no wonder they can’t pay their wash-bills."
38,I dare say they think washing is an elegant amusement 7] I’m sure I don’t know how I’ll ever get my money.
39,Writing them letters is sinful waste of paper and ink “And calling to see them is sinful waste of time.
40,That Marsac always makes me laugh in spite of myself.
41,"The last time I saw him I put on very determined air,” here little Landais assumed fierce look, “and asked him why my bill had not been paid."
42,"He told me that he and Monsieur Fontaine threw all their bills into basket, and every six months they drew one out at random and paid that bill,—and it so happened they had never drawn my bill!"
43,"It was wretched joke, but it made me laugh; and I assure you, the first thing I knew I was asking the fellow if he and his chum wanted anything in the tailoring line!” “And he chucks me under the chin, and tells me I’m so young and handsome I’ll be getting married[Pg 8] again; and then, like you, I turn fool and laugh, and pouf!"
44,"goes my bill,” moaned Madame Schmid, wagging her dolefully, while Landais shook his like Chinese mandarin."
45,"“Then,” said Landais, wearily, “what are we climbing up all these stairs for?” “God knows,” answered Madame Schmid."
46,"“But I have no more time to waste on them, so I’ll leave my bill and go “So will I,” said Landais; and they laid their bills on the rickety and went out, Madame Schmid clacking angrily all the way downstairs."
47,"The minute they disappeared, Fontaine slipped out of his closet, and locked the door after them."
48,"He was handsome, fair-haired fellow of five-and-twenty, with the most winning air in the world; but it was plain at the first glance that, with all his grace and intelligence, he was man to be led by his affections."
49,"[Pg 9] “I wish there was drawbridge outside this door,” he muttered, and then began to rummage about the room."
50,"“I wonder where Marsac’s purse is,” he continued to himself."
51,"“Ah, here it is,—and only two francs five centimes in it; and the shoemaker wants three francs for half-soling Marsac’s shoes!” And then he began to call for Marsac, meanwhile going through the empty form of searching through his own pockets."
52,In moment Marsac entered the room.
53,It was easy enough to see who was the master mind there.
54,"Marsac was not so regularly handsome as Fontaine, but his dark bright eyes and captivating smile seemed to radiate brilliance all round him."
55,"After the first moment of seeing these two young men together, it was not necessary to explain their relations[Pg 10] to each other."
56,"Fontaine could not look at Marsac without an almost feminine expression of fondness and tender reliance coming into his eyes; and at the bottom of his heart he thought Marsac the most brilliant, capable, and lovable of men."
57,"Marsac, on his part, could not look or speak to Fontaine without showing the affection of an elder for younger brother."
58,"They had been schoolmates, ten years before, at provincial college."
59,"From the first moment of their meeting, they loved each other."
60,Fontaine was of the best blood of the province; but he had neither father nor mother nor brother nor sister nor any near relative living.
61,"His was one of those hearts which must love something, and he could not help loving Marsac,— tall, lithe boy, older than he, and quite able to fight Fontaine’s battles as well as his own."
62,"Marsac, like Fontaine, was fatherless and motherless."
63,"He was educated from[Pg 11] fund for the sons of poor gentlemen, which the recipient was expected to return when he was able."
64,"After taking all the honours in his classes, and being graduated with the highest distinction, Marsac went to Paris along with Fontaine, both to seek their fortunes in journalism."
65,"They soon got work, but they made precious little money."
66,"Marsac, inspired with but one idea, sent every franc he made back to the fund, and repaid the sum advanced in an astonishingly short time."
67,But it was at the cost of getting into debt on all sides.
68,"Neither he nor his chum had that commercial knack, that intimate knowledge of the purchasing power of franc, which comes naturally to young men whose lives have been spent in large city."
69,"Marsac was of buoyant temper, and constantly expected something to turn up which would relieve them of all their embarrassments."
70,"Meanwhile, confident of the honesty of his intentions, he met his debts, duns,[Pg 12] and difficulties with an incomparable archness and good-humour."
71,"When Fontaine asked him for franc for the shoes, his reply was,— “A franc!"
72,"Do you think I have complete counterfeiting apparatus, that I can produce such sum as franc at moment’s notice?” “Then,” said Fontaine, ruefully, who would willingly have given his only pair of shoes to Marsac would he accept them, “I don’t know what I am to do."
73,"The shoemaker said three francs or no shoes, and I have only two francs five centimes."
74,"You have already spent enough on them to have bought new pair,—new vamps in December, new uppers in January, and now in February new soles “Go along with you!” cried Marsac."
75,"“Tell the shoemaker I have bad case of confluent small-pox, and I dare say he will be glad to let you have the shoes for nothing."
76,But give me that paste-pot.
77,"Our friends Madame[Pg 13] Schmid and Monsieur Landais have left us souvenirs which I can put to use And he began deftly cutting the bills, which were on stout paper, into square pieces to mend the screen with, which, like everything else in the room, had holes in it."
78,"“I am afraid the small-pox story won’t be —judicious subterfuge,” was Fontaine’s reply."
79,"“What did you do with the eleven francs we had yesterday?” “I bought four bottles of wine, box of cigars, and two loaves of bread with it “Why were you so extravagant about bread?” asked Marsac, very cheerfully working away at the old screen."
80,"“If you squander our substance on luxuries like bread, we sha’n’t have anything left for necessaries like wine and cigars."
81,"The fact is,” he continued, “when man enters journalism, he ought to have an education suitable to the profession."
82,"Instead of[Pg 14] going to the University, I should have been taught the shoemaking and tailoring trades."
83,How often have I heard that no learning comes amiss in journalism!
84,"Now, if I had the most rudimentary knowledge of cobbling, I could have mended those shoes myself “At all events,” said Fontaine, brushing his hat, “I am rather glad to be out of the way now; for this is the very day and hour that Madame Fleury always appears to ask for the rent “There!” cried Marsac, for the first time showing impatience, “I have been trying for two weeks to forget what day the rent is due, and had just succeeded when you reminded me of it."
85,"I would rather see Joan of Arc coming at me full tilt on horseback, or Charlotte Corday with her dagger, than Madame Fleury with her bill “I have heard it said that it is possible to live comfortably on large capital of debts, but we have not found[Pg 15] it so,” said Fontaine, still brushing his hat, which, however, not all the brushing in the world could benefit."
86,"“But the debts must be on respectable scale,” answered Marsac, “something like seventy or eighty thousand francs."
87,"I don’t believe, though, that everything we owe would mount up to ten thousand francs."
88,"I felt so humiliated the other day when one of the young fellows on the staff— mere reporter, while I am an editorial writer—boasted of owing his tailor alone as much as we owe altogether."
89,"I could not help translating hundreds into thousands, and said I owed my tailor nearly seven thousand francs, when it is not quite seven hundred."
90,"But I saw that the youngster respected me more from that moment, and Maurepas, the editor-in-chief, asked me to breakfast the very next day."
91,"I was obliged to decline on account of these infernal shoes; but I said it was because I was sent for by the Minister of Public Instruction [Pg 16] “Marsac,” said Fontaine, after pause, “how can you be so cheerful in the midst of our difficulties?” “Have you not heard, my little man, that the laughing philosopher attained the goal of all wisdom, while the weeping philosopher stood whimpering at the starting-post?"
92,Does long face pay bill?
93,Or sour temper?
94,"Depend upon it, Fortune looks for the smiling faces; and so I try to keep mine ready to welcome her Fontaine went out then, and Marsac, having finished the screen, took off his coat, and with needle and thread began sewing awkwardly on it, whistling like bird meanwhile."
95,"In the midst of it came knock at the door,—not whack like Madame Schmid’s, nor tap like Landais’s, but knock, delicate yet firm, polite but peremptory."
96,Marsac turned pale.
97,"Nevertheless he hustled on his coat, and opened the door with his best air,—which was very fine air,[Pg 17] indeed,—and his landlady, Madame Fleury, entered."
98,"Madame Fleury was handsome woman of about five-and-thirty, with fine dark eyes, and carriage full of grace and dignity; and, moreover, she exhibited self-poise and self-possession which prime minister might have envied."
99,"She was very simply dressed, as became the morning; but the simplicity was of the kind that costs."
100,Marsac courteously placed chair for her.
101,"“I am glad to find you at home, Monsieur Marsac,” were Madame Fleury’s first words after the politest greetings had been exchanged."
102,"“I had not seen you go in or out for day or two, and thought perhaps you were ill “A trifle, mere trifle,” answered Marsac, with much readiness; “ little[Pg 18] dinner at ministerial house,—those fellows give one such lots of champagne,—and I inherit gout, and it gave me touch; so pray excuse my slippers."
103,"As soon as Fontaine returns, I shall put on my shoes and go for little walk Then, seeing Madame Fleury’s handsome face assume its “business expression,” he hastened to add: “How wonderfully well you are looking!"
104,"You are blooming like rose “Thank you,” answered Madame Fleury, calmly."
105,"“In house like this, there are certain lodgers whom I am compelled to call on occasionally, in the way of business “Do you know, Madame,” continued Marsac, who had not ceased to examine Madame Fleury’s features as if she were beautiful portrait or statue which he had never set eyes on before, “there is picture in the Salon this year that might be taken for you?"
106,"It is called ‘Springtime,’— [Pg 19] young girl standing under an almond-tree in bloom."
107,"The girl’s face—so fresh, so lovely—is simply yours Madame Fleury’s discouraging reply to this was, “Business is business, Monsieur Marsac, and must be attended to Marsac kept on as if he had not heard word."
108,"“I can’t, for the life of me, recall the artist’s name; but I remarked aloud, ‘Madame Fleury must have sat for this charming face;’ and very distinguished-looking man who stood next me said in English, ‘Then I would give thousand pounds to know Madame Fleury!’” “I wish you had accepted his offer,” responded Madame Fleury, in tone that would have disconcerted Talleyrand, “for never in my life would thousand pounds or even thousand francs be more acceptable Marsac, however, not at all abashed, exclaimed enthusiastically: “Then, all you have to do is to offer to pose for [Pg 20] nymph or goddess."
109,"Bouguereau and all those high-priced fellows will simply be tumbling over one another in their eagerness to paint you “Monsieur Marsac,” said Madame Fleury, in tone of velvet softness which Marsac perfectly understood and shuddered to hear, “I am talking business “And I am talking art,” replied poor Marsac."
110,"“If you will kindly recall the date,” continued Madame Fleury."
111,"Marsac, taking up an almanac, began turning the leaves."
112,"“This is the 20th of February,” he mused."
113,“Let me see—what happened on the 20th of February?
114,"Ah, I have it!"
115,"It is your twenty-fifth birthday, and you have come to receive our felicitations “Nonsense, Monsieur Marsac!” replied Madame Fleury, with the same tone of deadly sweetness."
116,"“It is the day your rent is due; and I have come to see if you are prepared to pay it, and[Pg 21] also the arrears of two months you still owe Marsac merely shook his , and for several minutes there was unbroken silence in the room, each meanwhile closely attentive to the other."
117,At last Madame Fleury spoke.
118,"“It seems to me that two young men with your talents and character,—for I have found you both to have good characters, except for this rent business,—and of good families, should be able to make better living out of journalism than you do “Ah, Madame,” answered Marsac, sorrowfully, “modern journalism has but one essential,—it requires man to be an accomplished, ready, and felicitous liar; and neither of us is that “Then why don’t you—ahem!—try to acquire that one essential?” “Transcendent liars, Madame Fleury, like poets, are born, not made."
119,And then there is great deal in being notorious.
120,"Fontaine and I have done[Pg 22] everything short of felony, to bring ourselves before the public; but we have failed."
121,"We have tried to drown ourselves in the Seine,—with life-preservers on, of course; but the police found the life-preservers on us, and instead of making us favourably known, humph!—we were glad enough to hush up the affair."
122,"We have brought the most horrible charges against each other in print, but nobody appeared at all surprised at them; and the public, by its indifference, seemed to take it for granted that the worst was true."
123,"The only newspaper which took the trouble to investigate it sent reporter here; and as ill-luck would have it, the fellow caught us waltzing in each other’s arms for joy because we had just got dinner invitation,—and we had not had anything that could be called dinner for three weeks."
124,Our circumstances are indeed desperate.
125,"Yesterday we had some money, and Fontaine bought two loaves of bread."
126,I reproached him for[Pg 23] his extravagance in buying so much bread With these words Marsac managed to cover dexterously box of cigars on the which Madame Fleury had not noticed.
127,"“That is, indeed, poverty,” said Madame Fleury, with some feeling; and Marsac, seeing she was little touched, continued eagerly,— “We have tried everything."
128,"I sent play to manager, and the only notice he has taken of it has been to write me that he didn’t believe it would draw."
129,"Of course it won’t draw, shut up in the manager’s box."
130,I never expected it to draw until it was produced.
131,"I sent it under the name of Fontaine, as being more aristocratic than Marsac."
132,"Fontaine, you know, has graveyards full of noble ancestors, while I, like Napoleon, am the first of my family."
133,"Then I sent picture, called ‘A Rough Sea,’ to the Salon, also under the name of Fontaine 24] One of the judges said the thing made the whole committee ill,—it was so realistic, I presume,—and yet they rejected it Madame Fleury’s eyes softened, and with glint of “widow’s smile” upon her handsome mouth, she said gently, after moment, “Have you—has either one of you—ever thought of—ahem!—marriage, as way out of your troubles?” “Often,” answered Marsac, promptly,—“that is, for Fontaine."
134,"He was to be the victim,—the Iphigenia, so to speak."
135,"As for myself, there are two things I dread,—death and marriage."
136,"I must die, but I need not marry."
137,"I have sworn I will never be taken alive Madame Fleury blushed, smiled, and murmured, “More men marry than don’t."
138,"Most of them marry without qualm “True,” answered Marsac, gravely; “and there are men who will pick up[Pg 25] poisonous snake and dangle it in the air."
139,But I am not one of them.
140,I have no taste for dangling poisonous snakes.
141,I am afraid of them “And how stands Monsieur Fontaine on this subject?” “He is brave to rashness.
142,I believe him fully capable of marrying.
143,"In fact, Fontaine seems to have penchant[Pg 26] for Mademoiselle Claire Duval, daughter of Duval the rich old brewer “There is niece—Mademoiselle Delphine Duval—who has just gone to live with them,” said Madame Fleury, who liked to show her knowledge of the acquaintances of the two young men."
144,“I had not heard of that.
145,"The truth is, since we pawned our evening clothes we have not seen anything of the Duvals."
146,"However, as Fontaine could not marry Claire until he paid his debts, and he could not pay his debts until he married Claire, the matter seems to have settled itself Madame Fleury assumed striking attitude in her chair, and then began to speak, with an insinuating softness in every word and glance and motion: “You have told me much about you and your friend; now I will tell you something about myself, and it may result in—in—an arrangement mutually advantageous Her voice sank to[Pg 27] mere whisper."
147,"“As you know, I am widow “Certainly,” replied Marsac."
148,“I knew it the very first moment I saw you: you had such cheerful air “I have every reason to look cheerful.
149,"The late Monsieur Fleury was nothing but trouble to me, from the hour I married him until the day the news was brought me that his had been found in the river “Gracious powers!” cried Marsac, in astonishment; “was not the late Monsieur Fleury an angel?” “No,” answered Madame Fleury; “and I don’t believe he is an angel now, either “Strange, strange!” murmured Marsac."
150,“A departed husband not an angel!
151,This is phenomenon.
152,"Allow me to make note of it;” and taking out note-book, he gravely made memorandum."
153,"“A husband, Monsieur Marsac, is very like lobster salad."
154,"When it is[Pg 28] good, it is very good, and when it is bad it is intolerable."
155,Monsieur Fleury was very bad.
156,At last he sank so low that he became janitor in medical school.
157,"He was accused one day of stealing some valuable books and instruments, and soon after his was found in the Seine."
158,"It is supposed he committed suicide, knowing himself to be guilty."
159,"I did not see the , and tried to avoid all associations with the affair; but, do what I could, it became known that he had once been my husband."
160,"I find the name of man so unpleasantly notorious very inconvenient to bear, and I should like to change it Marsac, after listening intently to this, buried his ears in his hands and appeared to be thinking profoundly for some minutes."
161,"“I should think, Madame,” he said, after this pause of reflection, “that could be accomplished."
162,"The authorities on application will permit you to change your name Something like contempt appeared in[Pg 29] Madame Fleury’s dark eyes, and she responded coldly, “I should also like the protection which the name of some respectable man would give me A pause, longer and more awkward, ensued."
163,It seemed to Marsac as if he actually felt the temperature in the room falling ten degrees every second.
164,"For once, language failed him; and he heard himself saying, in quavering voice and almost without his own volition,— “Would that I were respectable man!” Madame Fleury turned her dark eyes on him and drew nearer."
165,"Her breathing quickened, and faint pink rose in her smooth cheek, and she said in laughing voice, which also trembled little,— “You are quite respectable enough for me Proposals of marriage are always embarrassing, and none the less so when, as the Breton peasants say, “the[Pg 30] haystack chases the cow Marsac felt himself suddenly grow hot, and as suddenly grow cold."
166,"He sat quite near Madame Fleury, her half-laughing and brightly burning eyes fixed on him."
167,"Every detail of her elegant and correct morning costume, her well-shod feet, her handsome , was abnormally present to him."
168,But he found it impossible to raise his eyes to her face.
169,"The only clear idea in his mind was frantic fury towards the women of the present day, who, he foresaw, would make these bad quarters of an hour, such as he was undergoing, common enough to men in the future."
170,"As for Madame Fleury, Marsac’s embarrassment was not lost on her; and although new woman, she was still woman, and womanly pride impelled her to control the slight tremor of her nerves, and say in voice, studiedly cold, “It is mere matter of business and of convenience with me [Pg 31] This gave Marsac, as he thought, loophole of escape, and he said hurriedly, “I, Madame, in my innocence, have regarded marriage as matter of sentiment Imagine his chagrin, though, when Madame Fleury, smiling and blushing like girl, replied, “Well, Monsieur Marsac, if you will have it so—” Marsac saw in moment the pit he had dug for himself, but he preferred to play the part of poltroon to stepping into it."
171,"He turned and fidgeted in his chair; he looked out of the window, down at the street, hoping to see Fontaine returning, and every moment the situation grew more appalling."
172,"Presently he managed to say,— “Until he is forty, man is too young to marry; and after he is forty, he is too old Madame Fleury surveyed him all over, with cool contempt which seemed to leave blisters on his ."
173,"Then brilliant idea came to him 32] He glanced at Madame Fleury, and saw as well as felt the rage rising in her heart against him."
174,"He tried to speak calmly and naturally, but his words were jerked out of him with stammering and stuttering,— “You are very, very g-g-good, Madame; and I feel more pleased—no, no, I mean honoured—than I can explain—express, that is."
175,But you know how Fontaine and I have lived together since our boyhood.
176,We have nobody but each other; we have shared everything as brothers.
177,"Now, d-d-do you think it quite fair that I should, like pig, accept this dazzling offer without giving Fontaine chance?” It was blunderingly enough spoken, but it served."
178,"Marsac saw, in moment, that Madame Fleury would much rather after that have killed him than married him; and when she spoke, her cold dignity made him feel like mouse under an exhausted air-receiver."
179,"[Pg 33] “I don’t know but that you are right, after all, and Monsieur Fontaine is really the superior man, and consequently better suited to me The door at that moment flew wide open, and Fontaine rushed in,—his coat mass of mud and rags, and his trousers slit from the knee to the hip; and he did not have Marsac’s shoes."
180,"Without observing Madame Fleury, who sat little to one side, he burst out,— “It’s no good, Marsac; the shoemaker said three francs or no shoes Then seeing Madame Fleury, he stopped, overwhelmed with embarrassment."
181,"Not so the lady, who quietly remarked to Marsac,— “This accounts for the story of the cabinet dinner, and the gout, and so on;” and she added, with an air of the finest sarcasm, “I see no earthly reason why you, Monsieur Marsac, should not succeed brilliantly in journalism [Pg 34] Marsac was quite disposed to let Fontaine take his part of the situation then, and said not word; but Fontaine exclaimed,— “I know what you have come for, Madame Fleury."
182,"It is the rent “Then you show very superior intelligence to Monsieur Marsac, as I had the greatest difficulty in making him understand what I came for,” responded Madame Fleury."
183,"“I am awfully sorry,” kept on Fontaine, “but we haven’t sou except this,”—holding out two francs,—“and I had an accident on the way, and ruined my only coat and trousers, and Marsac has no shoes, and I don’t know what we shall do Fontaine stopped, half crying."
184,"“I can suggest something,” said Madame Fleury, showing an amazing calmness."
185,"“Not to go over the same ground twice, I have determined to change my name and condition; and—” Here she paused for effect,[Pg 35] and Marsac came unexpectedly to her assistance."
186,"“Fontaine,” said he, solemnly, “I have been true friend to you."
187,"As soon as Madame Fleury mentioned this, I offered her your hand Fontaine looked at Marsac, supposing either he himself or his friend had gone crazy; but Marsac’s cool demeanour proved that he at least was sane."
188,"Fontaine, with his mouth open, but dumb with astonishment, gazed first at Marsac and then at Madame Fleury."
189,"“He is speechless with happiness,” cried Marsac."
190,“I knew he would be delighted.
191,"You see, marrying runs in Fontaine’s family."
192,"His father and mother were married, and his grandparents on both sides were married; and even his great-grandfathers and great-grandmothers were married."
193,"Isn’t that so, Fontaine?” Fontaine, still dazed, mumbled, “I don’t know [Pg 36] “Fie, you bad man!” replied Marsac, laughing."
194,"“Pray, Madame Fleury, don’t believe that."
195,"I know what I am talking about, and I assure you that all these people in Fontaine’s family were married Madame Fleury then rose majestically."
196,"“Gentlemen, this matter must be settled at once."
197,"You have your choice,— marriage, or an eviction within twenty-four hours, and all the arrears of rent paid Fontaine, who was gradually returning to his senses, said, “But, Madame, it is impossible."
198,"Marsac has no shoes; I have no clothes—” “If you do not choose to accept my proposition, Monsieur Fontaine,” coolly interrupted Madame Fleury, “you will be put into the street within twenty-four hours; and when you reach the street, you will be arrested for non-payment of rent “And if I go into the street without any coat or trousers, I shall certainly[Pg 37] be arrested,” answered Fontaine, desperately."
199,"Madame Fleury shook her , as if the whole affair were nothing to her."
200,"Marsac, advancing to Fontaine, whispered in his ear, “Promise her."
201,"Promising isn’t marrying, you know."
202,"You promise her “No, you do it “I can’t."
203,She won’t have me.
204,You do it.
205,"I have known several men who[Pg 38] have escaped with their lives from widows Fontaine, thus urged by Marsac, whom he had never resisted in his life, looked helplessly from his friend to his landlady, and from his landlady back to his friend."
206,"After all, promising was not marrying, and it was worth good deal to get her out of the room."
207,"Madame Fleury brought matters to crisis by asking, smiling, “Which shall it be, gentlemen,—an engagement or an eviction?” Fontaine could not bring himself to say the word, but he submitted silently when Marsac, taking his hand, led him to Madame Fleury, and placing their hands together said, with something dangerously near wink,— “Take the lovely hand held out to you."
208,Quaff the cup of happiness held to your lips.
209,"Madame Fleury, you will exchange for your present name one of the most distinguished names among the great families of France,”—which[Pg 39] was true enough as far as Fontaine’s name was concerned."
210,"Madame Fleury, whose principle it was to get through quickly with an awkward business, asked Marsac to sit down and write out little agreement, to be signed by Fontaine and herself."
211,"“And it might be as well,” she added, “to name the date of the fulfilment of this promise."
212,"Let me see,—this is the 20th of February [Pg 40] She paused and reflected."
213,"Marsac, who had seated himself at the reflected too; and then after moment he said,— “The 31st of April “There is no 31st of April,” replied Madame Fleury."
214,"“The first of April would seem appropriate,” kept on Marsac, very gravely."
215,"“Don’t trouble yourself to be sarcastic, Monsieur Marsac,” replied Madame Fleury, with cutting emphasis."
216,"“It would do admirably if I were marrying you, but otherwise, not “The twenty-ninth of February, then “This is not leap year “Oh, I thought it was Madame Fleury did not condescend to notice this fling; and Marsac, writing very slowly, proceeded to draw up an informal agreement to marry, between Marie Fleury and Auguste Fontaine."
217,"Fontaine had dropped limp upon [Pg 41] chair, and sat with his buried in his arms, the picture of misery."
218,"But awkward and humiliating as it was, he had not the smallest doubt that Marsac, whom he thought capable of meeting any emergency, would eventually get him out of the scrape."
219,"When Madame Fleury had signed the paper, Marsac called Fontaine, who remained motionless, without lifting his ."
220,"“That’s his way of showing he is pleased,” explained Marsac in the most serious manner."
221,"“I told you he would be delighted, and I know at this moment he is revelling in rapture; only he has rather singular manner of showing it “He has, indeed,” said Madame Fleury; “but I am vain enough to think that it is merely the suddenness of the affair which has somewhat disconcerted him Fontaine, almost dragged out of his chair by Marsac, sullenly signed the[Pg 42] paper; and after taking possession of it, and recommending him to act in good faith with her, Madame Fleury departed, with the air of person who has made successful stroke of business."
222,"As soon as she was gone, Fontaine with loud groan threw himself on the sofa."
223,Even Marsac began to be somewhat frightened at the turn of affairs.
224,He thought it not unlikely that the prospect of marrying handsome young man far above her in social position might be really in Madame Fleury’s mind.
