,Query,Top-1,Top-2,Top-3,Top-4,Top-5
37,monsieur fontaine ask smoothest voice remember certain document sign refer 15th may eternal sorrow fontaines reply could say anything monsieur duval bustle look flurry nervouspg 173 elate elation stupid old man find object interest handsome young woman,course delight see unclepardon mebut man age know better monsieur duval interrupt madame fleury age one greatest charm eye yet coolly continue delphine monsieur fontaines youth objection,pg 123 monsieur duval sigh fidget burst know afraidi afraid blame let daughter monsieur fontaine see much matter still uncertain comtesse de fleury see two young people deeply love,monsieur fontaine oblige tell porter direct wait awhile case quite ready go monsieur duval object get fontaine way moment door close upon draw chair marsacs begin seriously mop forehead anxiety know monsieur marsac always think extremely well monsieur fontaine come snug fortune mind heif daughter herepg 86 monsieur duval wink marsac grin appreciatively,allow say marsac low bow present ladies gentlemen monsieur maurice fontaine late new york henceforth paris madame fleury seem literally stun sight little old man without notice sensation make appearance go round circle shake hand forget madame fleury gavepg 185 hand like woman nightmare ask little niece claire run look smilingly face say uncle maurice old man gratification touch,wear look jaunty expectation seem increase startle spectacle himmadame fleury hold monsieur duvals arm old man puff blow smile frown alternate spasms rage delight claire cling fontaine great distress delphine pale defiant stand alone centre group
38,wait let assist say fontaine try take old bag,depend upon things go fontaines name remarkable moment footman approach hand marsac card say lady ask monsieur fontaine marsac hand card back happen see madame fleury stop cry instantly give moment think,well msieu begin madame schmid air importance come tell pretty boy fontaine something like hear,fontaine ask franc shoe reply franc,monsieur fontaine go,soon fontaine return shall put shoe go little walk see madame fleurys handsome face assume business expression hasten add wonderfully well look
39,would admirably marry otherwise twentyninth february leap year oh think madame fleury condescend notice fling marsac write slowly proceed draw informal agreement marry marie fleury auguste fontaine,madame fleury rise shake skirt place say see monsieur fontaine illsatisfied visit may pleasure escort carriage ask marsac,know im old enough father youll marry madame fleury youll find great improvement rascally count marry first may madame duval day like faint shriek burst two girls fontaine dream old man capable folly couldnt repress exclamation 177 however take claires hand say tenderly well dear one thing trust become wife earliest moment possible claire felt moment one earthly dependence cling fontaine weep say marry whenever like cannot never countenance father marriage creature even would marry escape live woman say delphine much agitation,soon madame fleury mention offer hand fontaine look marsac suppose either friend go crazy marsacs cool demeanour prove least sane,however fontaine could marry claire pay debts could pay debts marry claire matter seem settle madame fleury assume strike attitude chair begin speak insinuate softness every word glance motion tell much friend tell something may result ininan arrangement mutually advantageous voice sink topg 27 mere whisper,madame fleury bring matter crisis ask smile shall gentlemenan engagement eviction fontaine could bring say word submit silently marsac take hand lead madame fleury place hand together say something dangerously near wink take lovely hand hold
40,1 limit right replacement refund discover defect electronic work within 90 days receive receive refund money pay send write explanation person receive work,alternate format must include full project gutenberg license specify paragraph 1 1 charge fee access view display perform copy distribute project gutenberg work unless comply paragraph 1 1 1 may charge reasonable fee copy provide access distribute project gutenberg electronic work provide pay royalty fee 20 gross profit derive use project gutenberg work calculate use method already use calculate applicable tax,pay fee obtain copy access project gutenberg electronic work agree bind term agreement may obtain refund person entity pay fee set forth paragraph 1 1 project gutenberg register trademark,person entity provide defective work may elect provide replacement copy lieu refund,1 indemnity agree indemnify hold foundation trademark owner agent employee foundation anyone provide copy project gutenberg electronic work accordance agreement volunteer associate production promotion distribution project gutenberg electronic work harmless liability cost expense include legal fee arise directly indirectly follow cause occur distribution project gutenberg work b alteration modification additions deletions project gutenberg work c defect cause,provide accordance paragraph 1 full refund money pay work replacement copy defect electronic work discover report within 90 days receipt work
41,1 wish charge fee distribute project gutenberg electronic work group work different term set forth agreement must obtain permission write project gutenberg literary archive foundation manager project gutenberg trademark,special rule set forth general term use part license apply copy distribute project gutenberg electronic work protect project gutenberg concept trademark,1 limit warranty disclaimer damage except right replacement refund describe paragraph 1 project gutenberg literary archive foundation owner project gutenberg trademark party distribute project gutenberg electronic work agreement disclaim liability damage cost expense include legal fee,1 indemnity agree indemnify hold foundation trademark owner agent employee foundation anyone provide copy project gutenberg electronic work accordance agreement volunteer associate production promotion distribution project gutenberg electronic work harmless liability cost expense include legal fee arise directly indirectly follow cause occur distribution project gutenberg work b alteration modification additions deletions project gutenberg work c defect cause,pay fee obtain copy access project gutenberg electronic work agree bind term agreement may obtain refund person entity pay fee set forth paragraph 1 1 project gutenberg register trademark,redistribute provide access work phrase project gutenberg associate appear work must comply either requirements paragraph 1 1 obtain permission use work project gutenberg trademark set forth paragraph 1 1 1 individual project gutenberg electronic work post permission copyright holder use distribution must comply paragraph 1 1 additional term impose copyright holder
42,marsac delphine seem find impossible get away question marriage albeit try topg 101 outdo rail,late monsieur fleury nothing trouble hour marry day news bring find river gracious power cry marsac astonishment late monsieur fleury angel answer madame fleury dont believe angel either strange strange murmur marsac,dont know pay give hundred thousand francs prospect make clear ten thousand francs delight fontaine could speak momentwhen catch marsacs eye fix upon understand signal give evasive answer whichpg 107 maurepas poohpoohed,jump see quickly jump save madame fleury laugh ever decline say banteringlypg 129 could believe consider make offer refuse oh madame fleury cry marsac actually hang surely say affections engagedoror ask time considerationor young marryor something sort,marsac dare propose delphine secure charm society enslave marriage,add timidly marriage contract us pg 143 destroy answer delphine supply suppose marsac mean
43,garland mean,see yes say fontaine,monsieur duval comtesse de fleury come fontaine,particular get one,recognise fontaine see,fontaine astound
44,pretty place melun daughter fond look country place monsieur fontaine could better take ninety thousand francs fontaine remember marsacs injunction eager hum little effect,merely say way make things agreeable madame fleury countess madame fleurys reply one word utter tone concentrate hatred wretch thank get restore longlost husbandpg 181 say marsac injure voice,old duval persist motive ridiculously clear every word daughter fond melun placemy daughter could scarcely persuade leave even finer house passy marsac urge apparently unwilling fontaine accept offer mention several countesses duchesses princesses acquaintance think buy place melun,marsac throw chair groan aloud fontaine alone although pretend grieve felt perfectly will get rid madame fleury price even present withpg 145 prospective fatherinlaw chargerafter manner herodias another enterprising wouldbe widow good many years ago,cannot deny marsac fontaine little frighten sudden overpower success little romance,dont know pay give hundred thousand francs prospect make clear ten thousand francs delight fontaine could speak momentwhen catch marsacs eye fix upon understand signal give evasive answer whichpg 107 maurepas poohpoohed
45,one delicious moments madame fleurys life,bloom like rise thank answer madame fleury calmly,last however accidental halfhourwhich bring much happiness fontaine claire turn world topsyturvy marsac delphinecame end,fell mutually love precipitancepg 117 even claire fontaines ardour patch,suggest something say madame fleury show amaze calmness,handsome woman comtessethe comtesse de fleury
46,contradict believe,oh deceiver,gross exaggeration,try fool,nonsense,impudent ever warrant
47,marsac stagger,marsac see keep,reply marsac enthusiasm,marsac follow,marsac interfere,rubicon say marsac
48,ask fontaine surprise,see yes say fontaine,recognise fontaine see,monsieur fontaine,fontaine mouth open dumb astonishment gaze first marsac madame fleury,fontaine astound
49,marsac remarkably clever brush make excellent picture uncle maurice transform bullfighter dint artistically smoke newness ofpg 60 paint take,endow every virtue man gentleman seem clairvoyant uncle maurice laugh excessivelypg 188 hand smaller roll old bag marsac say well would like nephew less kind nephew less obligation hundred thousand francs mere nestegg,invention uncle maurice rank orestes pantagruel quixote splendid creations imagination real us sir uncle maurice,fellow clever always make way world marsac overwhelm old man generosity silence stand grasp uncle maurices hand break slam door madame fleury rush drag unhappy fleury,make portrait uncle maurice bold stroke bullfighter assume appearance hale old gentleman sixty black coat white tie,draw noble picture uncle mauricefor look fontaine profit old gentleman least give good character
50,auguste would rather dine public today fontaine shake two friends silence fontaine eye bend mourn hat carry go private diningroom 56 obsequious waiter bring card,send picture call rough sea salon also name fontaine 24 one judge say thing make whole committee illit realistic presumeand yet reject madame fleurys eye soften glint widow smile upon handsome mouth say gently moment youhas either one youever think ofahemmarriage way trouble often answer marsac promptlythat fontaine,think monsieur auguste inform say madame fleury consider relations ah madame widow canpg 62 idea bashfulness young man like fontaine first love affair,make excuse send waiter room hug begin dance wildly barely time return scuttle back chair pull long face devour fish flesh fowl entres horsdoeuvres everything else eatable,day two friends sit garret unable accountpg 52 fontaines dilapidate clothe marsacs want shoe go get anything eatfor could still go restaurant near newspaper office get dinner credit,allow say marsac low bow present ladies gentlemen monsieur maurice fontaine late new york henceforth paris madame fleury seem literally stun sight little old man without notice sensation make appearance go round circle shake hand forget madame fleury gavepg 185 hand like woman nightmare ask little niece claire run look smilingly face say uncle maurice old man gratification touch
51,use think say monsieur duval monsieur marsac play paintpots hispg 191 write fiddle great fool change opinion thousand thank reply marsac dignitynot fool write paint fiddle thereby add gaiety nations well well well say monsieur duval hastily let us sit talk things uncle maurice fontaine claire form group sit,wear look jaunty expectation seem increase startle spectacle himmadame fleury hold monsieur duvals arm old man puff blow smile frown alternate spasms rage delight claire cling fontaine great distress delphine pale defiant stand alone centre group,pg ix list illustrations page extravagant bread ask marsac cheerfully work away old screen frontispiece madame schmid plainly rage 2 madame schmid grow still redder face shorter breath 5 easy enough see master mind 9 madame fleury enter 17 ever think marriage way trouble 25 marsac advance fontaine whisper ear 37 marsac take hand lead madame fleury 39 bold stroke bullfighter assume appearance hale old gentleman sixty 48 pg x fell chair amazement chagrin 50 two young men tear open box 53 hug begin dance wildly 56 dont speak fiance disrespectful manner cry marsac 65 open without word take four bottle champagne 67 saw two poor creatures stand front pastryshop 68 marsac receive much kindness respect bankers daughters 75 madame schmid make dash fontaine collar drag 77 villa say old brewer 83 monsieur duval kneel 89 monsieur duval close one eye playfully poke rib 93 door open admit fontaine two remarkably pretty girls 97 pg xi young people talk gaily together sip champagne 100 hundred thirty thousand francs cry maurepas 108 marsac turn double handspring sofa 110 marsac seize around waist begin waltz furiously 113 creep softly apartment 115 bring delphines golden quite close marsacs brown one consent willingly 121 oh madame fleury cry marsac actually hang 129 madame fleury press handkerchief eye 132 marsac could scarcely restrain shout joy 137 madame fleury begin eagerly search grind letter 139 marsac say tear paper half fontaine dear claire 143 monsieur duvals victoria madame fleury 145 pg xii fontaine sink deep armchair picture misery 149 little old man clutch rusty travellingbag tremble hand 151 let assist say fontaine try take old bag 159 marsac delphine leave alone 161 madame fleury stand petrify moment 175 thing trust say fontaine 177 walk one weazened cadaverous little men ever step 180 madame fleury rush drag unhappy fleury 188 marsac arm around delphines waist 194 pg xiii sprightly romance marsac pg 1 sprightly romance marsac1 1 dramatic right reserve,course delight see unclepardon mebut man age know better monsieur duval interrupt madame fleury age one greatest charm eye yet coolly continue delphine monsieur fontaines youth objection,tell would delight know moment revel rapture rather singular manner show indeed say madame fleury vain enough think merely suddenness affair somewhat disconcert fontaine almost drag chair marsac sullenly sign thepg 42 paper take possession recommend act good faith madame fleury depart air person make successful stroke business,marsac throw chair groan aloud fontaine alone although pretend grieve felt perfectly will get rid madame fleury price even present withpg 145 prospective fatherinlaw chargerafter manner herodias another enterprising wouldbe widow good many years ago
52,laugh failure say gaily well boy tale make tell get richpg 53 half pleasure rich people consist tell happy second shirt back moment servant establishment open door without ceremony thrust huge box name charlevois tailor,pg ix list illustrations page extravagant bread ask marsac cheerfully work away old screen frontispiece madame schmid plainly rage 2 madame schmid grow still redder face shorter breath 5 easy enough see master mind 9 madame fleury enter 17 ever think marriage way trouble 25 marsac advance fontaine whisper ear 37 marsac take hand lead madame fleury 39 bold stroke bullfighter assume appearance hale old gentleman sixty 48 pg x fell chair amazement chagrin 50 two young men tear open box 53 hug begin dance wildly 56 dont speak fiance disrespectful manner cry marsac 65 open without word take four bottle champagne 67 saw two poor creatures stand front pastryshop 68 marsac receive much kindness respect bankers daughters 75 madame schmid make dash fontaine collar drag 77 villa say old brewer 83 monsieur duval kneel 89 monsieur duval close one eye playfully poke rib 93 door open admit fontaine two remarkably pretty girls 97 pg xi young people talk gaily together sip champagne 100 hundred thirty thousand francs cry maurepas 108 marsac turn double handspring sofa 110 marsac seize around waist begin waltz furiously 113 creep softly apartment 115 bring delphines golden quite close marsacs brown one consent willingly 121 oh madame fleury cry marsac actually hang 129 madame fleury press handkerchief eye 132 marsac could scarcely restrain shout joy 137 madame fleury begin eagerly search grind letter 139 marsac say tear paper half fontaine dear claire 143 monsieur duvals victoria madame fleury 145 pg xii fontaine sink deep armchair picture misery 149 little old man clutch rusty travellingbag tremble hand 151 let assist say fontaine try take old bag 159 marsac delphine leave alone 161 madame fleury stand petrify moment 175 thing trust say fontaine 177 walk one weazened cadaverous little men ever step 180 madame fleury rush drag unhappy fleury 188 marsac arm around delphines waist 194 pg xiii sprightly romance marsac pg 1 sprightly romance marsac1 1 dramatic right reserve,endow every virtue man gentleman seem clairvoyant uncle maurice laugh excessivelypg 188 hand smaller roll old bag marsac say well would like nephew less kind nephew less obligation hundred thousand francs mere nestegg,moment welldressed little man enter room almost imperceptible knock unroll bill yard long begin gentlemen little bill raise eye say surprise voice arent gentlemen gentlemen pay bill monsieur landais answer madame schmid sarcastically recognise old acquaintance monsieur landais,maurepas enter room air chagrin man throw hat say crossly pg 104 fontaine newspaper story true come great fortune great answer fontaine modestlyonly couple million francs oh lord sniff maurepas ideas expand,wretched joke make laugh assure first thing know ask fellow chum want anything tailor line chuck chin tell im young handsome ill get marriedpg 8 like turn fool laugh pouf
