,Cleaned Data
21,madame schmid belong large class persons believe man engage form art necessarily loafer
22,sight painters tool violin especially abundance pen ink paper act like red rag bull give excuse want raise tempest
23,first exclaim scornfully pg 4 painters next scornfully still fiddlers last concentration contempt would make fortune theatre paris journalists begin bawl voice like auctioneer msieu marsac
24,msieu fontaine
25,oh know somewhere
26,old dodge run away come bill
27,owe seven weeks wash
28,seven weeks rub scrub see colour money yet madame schmid stop moment take breath notice door lead corridor dart begin tug vigorously knob
29,marsac hold side madame schmids superior muscle though weight doorpg 5 resist successfully
30,march closet door fontaine follow marsacs tactics madame schmid grow still redder face shorter breath better luck corridor door
31,moment welldressed little man enter room almost imperceptible knock unroll bill yard long begin gentlemen little bill raise eye say surprise voice arent gentlemen gentlemen pay bill monsieur landais answer madame schmid sarcastically recognise old acquaintance monsieur landais
32,madame schmid good obedient alsatian husband talk death years andpg 6 landais late lament schmid town
33,landais silently hold bill madame schmid flourish face air landais owe money instead marsac fontaine
34,journalists bad lot tell rapidly begin madame schmid like first well last word lazy lot
35,work live arm legs monsieur marsac pretty boy fontaine nothing sit easychair write day long
36,call work wish could sit easychair amuse pen day instead toil cuttingboard answer tailor ruefully
37,paint fiddle scribblingno wonder cant pay washbills
38,dare say think wash elegant amusement 7 im sure dont know ill ever get money
39,write letter sinful waste paper ink call see sinful waste time
40,marsac always make laugh spite
41,last time saw put determine air little landais assume fierce look ask bill pay
42,tell monsieur fontaine throw bill basket every six months draw one random pay billand happen never draw bill
43,wretched joke make laugh assure first thing know ask fellow chum want anything tailor line chuck chin tell im young handsome ill get marriedpg 8 like turn fool laugh pouf
44,go bill moan madame schmid wag dolefully landais shake like chinese mandarin
45,say landais wearily climb stairs god know answer madame schmid
46,time waste ill leave bill go say landais lay bill rickety go madame schmid clack angrily way downstairs
47,minute disappear fontaine slip closet lock door
48,handsome fairhaired fellow fiveandtwenty win air world plain first glance grace intelligence man lead affections
49,pg 9 wish drawbridge outside door mutter begin rummage room
50,wonder marsacs purse continue
51,ah isand two francs five centimes shoemaker want three francs halfsoling marsacs shoe begin call marsac meanwhile go empty form search pocket
52,moment marsac enter room
53,easy enough see master mind
54,marsac regularly handsome fontaine dark bright eye captivate smile seem radiate brilliance round
55,first moment see two young men together necessary explain relationspg 10
56,fontaine could look marsac without almost feminine expression fondness tender reliance come eye bottom heart think marsac brilliant capable lovable men
57,marsac part could look speak fontaine without show affection elder younger brother
58,schoolmates ten years provincial college
59,first moment meet love
60,fontaine best blood province neither father mother brother sister near relative live
61,one hearts must love something could help love marsac tall lithe boy older quite able fight fontaines battle well
62,marsac like fontaine fatherless motherless
63,educate frompg 11 fund sons poor gentlemen recipient expect return able
64,take honour class graduate highest distinction marsac go paris along fontaine seek fortunes journalism
65,soon get work make precious little money
66,marsac inspire one idea send every franc make back fund repay sum advance astonishingly short time
67,cost get debt side
68,neither chum commercial knack intimate knowledge purchase power franc come naturally young men whose live spend large city
69,marsac buoyant temper constantly expect something turn would relieve embarrassments
70,meanwhile confident honesty intentions meet debts dunspg 12 difficulties incomparable archness goodhumour
71,fontaine ask franc shoe reply franc
72,think complete counterfeit apparatus produce sum franc moments notice say fontaine ruefully would willingly give pair shoe marsac would accept dont know
73,shoemaker say three francs shoe two francs five centimes
74,already spend enough buy new pairnew vamp december new uppers january february new sole go along cry marsac
75,tell shoemaker bad case confluent smallpox dare say glad let shoe nothing
76,give pastepot
77,friends madamepg 13 schmid monsieur landais leave us souvenirs put use begin deftly cut bill stout paper square piece mend screen like everything else room hole
78,afraid smallpox story wont judicious subterfuge fontaines reply
79,eleven francs yesterday buy four bottle wine box cigars two loaves bread extravagant bread ask marsac cheerfully work away old screen
80,squander substance luxuries like bread shant anything leave necessaries like wine cigars
81,fact continue man enter journalism ought education suitable profession
82,instead ofpg 14 go university teach shoemaking tailor trade
83,often hear learn come amiss journalism
84,rudimentary knowledge cobble could mend shoe events say fontaine brush hat rather glad way day hour madame fleury always appear ask rent cry marsac first time show impatience try two weeks forget day rent due succeed remind
85,would rather see joan arc come full tilt horseback charlotte corday dagger madame fleury bill hear say possible live comfortably large capital debts foundpg 15 say fontaine still brush hat however brush world could benefit
86,debts must respectable scale answer marsac something like seventy eighty thousand francs
87,dont believe though everything owe would mount ten thousand francs
88,felt humiliate day one young fellows staff mere reporter editorial writerboasted owe tailor alone much owe altogether
89,could help translate hundreds thousands say owe tailor nearly seven thousand francs quite seven hundred
90,saw youngster respect moment maurepas editorinchief ask breakfast next day
91,oblige decline account infernal shoe say send minister public instruction pg 16 marsac say fontaine pause cheerful midst difficulties hear little man laugh philosopher attain goal wisdom weep philosopher stand whimper startingpost
92,long face pay bill
93,sour temper
94,depend upon fortune look smile face try keep mine ready welcome fontaine go marsac finish screen take coat needle thread begin sew awkwardly whistle like bird meanwhile
95,midst come knock doornot whack like madame schmids tap like landaiss knock delicate yet firm polite peremptory
96,marsac turn pale
97,nevertheless hustle coat open door best airwhich fine airpg 17 indeedand landlady madame fleury enter
98,madame fleury handsome woman fiveandthirty fine dark eye carriage full grace dignity moreover exhibit selfpoise selfpossession prime minister might envy
99,simply dress become morning simplicity kind cost
100,marsac courteously place chair
101,glad find home monsieur marsac madame fleurys first word politest greetings exchange
102,see go day two think perhaps ill trifle mere trifle answer marsac much readiness littlepg 18 dinner ministerial housethose fellows give one lot champagneand inherit gout give touch pray excuse slippers
103,soon fontaine return shall put shoe go little walk see madame fleurys handsome face assume business expression hasten add wonderfully well look
104,bloom like rise thank answer madame fleury calmly
105,house like certain lodgers compel call occasionally way business know madame continue marsac cease examine madame fleurys feature beautiful portrait statue never set eye picture salon year might take
106,call springtime pg 19 young girl stand almondtree bloom
107,girls faceso fresh lovelyis simply madame fleurys discourage reply business business monsieur marsac must attend marsac keep hear word
108,cant life recall artists name remark aloud madame fleury must sit charm face distinguishedlooking man stand next say english would give thousand pound know madame fleury wish accept offer respond madame fleury tone would disconcert talleyrand never life would thousand pound even thousand francs acceptable marsac however abash exclaim enthusiastically offer pose pg 20 nymph goddess
109,bouguereau highpriced fellows simply tumble one another eagerness paint monsieur marsac say madame fleury tone velvet softness marsac perfectly understand shudder hear talk business talk art reply poor marsac
110,kindly recall date continue madame fleury
111,marsac take almanac begin turn leave
112,20th february muse
113,let seewhat happen 20th february
114,ah
115,twentyfifth birthday come receive felicitations nonsense monsieur marsac reply madame fleury tone deadly sweetness
116,day rent due come see prepare pay andpg 21 also arrears two months still owe marsac merely shake several minutes unbroken silence room meanwhile closely attentive
117,last madame fleury speak
118,seem two young men talents characterfor find good character except rent businessand good families able make better live journalism ah madame answer marsac sorrowfully modern journalism one essentialit require man accomplish ready felicitous liar neither us dont youahemtry acquire one essential transcendent liars madame fleury like poets bear make
119,great deal notorious
120,fontaine donepg 22 everything short felony bring public fail
121,try drown seinewith lifepreservers course police find lifepreservers us instead make us favourably know humphwe glad enough hush affair
122,bring horrible charge print nobody appear surprise public indifference seem take grant worst true
123,newspaper take trouble investigate send reporter illluck would fellow catch us waltz others arm joy get dinner invitationand anything could call dinner three weeks
124,circumstances indeed desperate
125,yesterday money fontaine buy two loaves bread
126,reproach forpg 23 extravagance buy much bread word marsac manage cover dexterously box cigars madame fleury notice
127,indeed poverty say madame fleury feel marsac see little touch continue eagerly try everything
128,send play manager notice take write didnt believe would draw
129,course wont draw shut managers box
130,never expect draw produce
131,send name fontaine aristocratic marsac
132,fontaine know graveyards full noble ancestors like napoleon first family
133,send picture call rough sea salon also name fontaine 24 one judge say thing make whole committee illit realistic presumeand yet reject madame fleurys eye soften glint widow smile upon handsome mouth say gently moment youhas either one youever think ofahemmarriage way trouble often answer marsac promptlythat fontaine
134,victimthe iphigenia speak
135,two things dreaddeath marriage
136,must die need marry
137,swear never take alive madame fleury blush smile murmur men marry dont
138,marry without qualm true answer marsac gravely men pick uppg 25 poisonous snake dangle air
139,one
140,taste dangle poisonous snake
141,afraid stand monsieur fontaine subject brave rashness
142,believe fully capable marry
143,fact fontaine seem penchantpg 26 mademoiselle claire duval daughter duval rich old brewer niecemademoiselle delphine duvalwho go live say madame fleury like show knowledge acquaintances two young men
144,hear
145,truth since pawn even clothe see anything duvals
146,however fontaine could marry claire pay debts could pay debts marry claire matter seem settle madame fleury assume strike attitude chair begin speak insinuate softness every word glance motion tell much friend tell something may result ininan arrangement mutually advantageous voice sink topg 27 mere whisper
147,know widow certainly reply marsac
148,know first moment saw cheerful air every reason look cheerful
149,late monsieur fleury nothing trouble hour marry day news bring find river gracious power cry marsac astonishment late monsieur fleury angel answer madame fleury dont believe angel either strange strange murmur marsac
150,depart husband angel
151,phenomenon
152,allow make note take notebook gravely make memorandum
153,husband monsieur marsac like lobster salad
154,ispg 28 good good bad intolerable
155,monsieur fleury bad
156,last sink low become janitor medical school
157,accuse one day steal valuable book instrument soon find seine
158,suppose commit suicide know guilty
159,see try avoid associations affair could become know husband
160,find name man unpleasantly notorious inconvenient bear like change marsac listen intently bury ears hand appear think profoundly minutes
161,think madame say pause reflection could accomplish
162,authorities application permit change name something like contempt appear inpg 29 madame fleurys dark eye respond coldly also like protection name respectable man would give pause longer awkward ensue
163,seem marsac actually felt temperature room fall ten degrees every second
164,language fail hear say quaver voice almost without volition would respectable man madame fleury turn dark eye draw nearer
165,breathe quicken faint pink rise smooth cheek say laugh voice also tremble little quite respectable enough proposals marriage always embarrass none less breton peasants say thepg 30 haystack chase cow marsac felt suddenly grow hot suddenly grow cold
166,sit quite near madame fleury halflaughing brightly burn eye fix
167,every detail elegant correct morning costume wellshod feet handsome abnormally present
168,find impossible raise eye face
169,clear idea mind frantic fury towards women present day foresee would make bad quarter hour undergo common enough men future
170,madame fleury marsacs embarrassment lose although new woman still woman womanly pride impel control slight tremor nerve say voice studiedly cold mere matter business convenience pg 31 give marsac think loophole escape say hurriedly madame innocence regard marriage matter sentiment imagine chagrin though madame fleury smile blush like girl reply well monsieur marsac marsac saw moment pit dig prefer play part poltroon step
171,turn fidget chair look window street hop see fontaine return every moment situation grow appal
172,presently manage say forty man young marry forty old madame fleury survey cool contempt seem leave blister
173,brilliant idea come 32 glance madame fleury saw well felt rage rise heart
174,try speak calmly naturally word jerk stammer stutter gggood madame feel pleasedno mean honouredthan explainexpress
175,know fontaine live together since boyhood
176,nobody share everything brothers
177,dddo think quite fair like pig accept dazzle offer without give fontaine chance blunderingly enough speak serve
178,marsac saw moment madame fleury would much rather kill marry speak cold dignity make feel like mouse exhaust airreceiver
179,pg 33 dont know right monsieur fontaine really superior man consequently better suit door moment fly wide open fontaine rush inhis coat mass mud rag trousers slit knee hip marsacs shoe
180,without observe madame fleury sit little one side burst good marsac shoemaker say three francs shoe see madame fleury stop overwhelm embarrassment
181,lady quietly remark marsac account story cabinet dinner gout add air finest sarcasm see earthly reason monsieur marsac succeed brilliantly journalism pg 34 marsac quite dispose let fontaine take part situation say word fontaine exclaim know come madame fleury
182,rent show superior intelligence monsieur marsac greatest difficulty make understand come respond madame fleury
183,awfully sorry keep fontaine havent sou except thisholding two francsand accident way ruin coat trousers marsac shoe dont know shall fontaine stop half cry
184,suggest something say madame fleury show amaze calmness
185,go grind twice determine change name condition pause effectpg 35 marsac come unexpectedly assistance
186,fontaine say solemnly true friend
187,soon madame fleury mention offer hand fontaine look marsac suppose either friend go crazy marsacs cool demeanour prove least sane
188,fontaine mouth open dumb astonishment gaze first marsac madame fleury
189,speechless happiness cry marsac
190,know would delight
191,see marry run fontaines family
192,father mother marry grandparents side marry even greatgrandfathers greatgrandmothers marry
193,isnt fontaine fontaine still daze mumble dont know pg 36 fie bad man reply marsac laugh
194,pray madame fleury dont believe
195,know talk assure people fontaines family marry madame fleury rise majestically
196,gentlemen matter must settle
197,choice marriage eviction within twentyfour hours arrears rent pay fontaine gradually return sense say madame impossible
198,marsac shoe clothe choose accept proposition monsieur fontaine coolly interrupt madame fleury put street within twentyfour hours reach street arrest nonpayment rent go street without coat trousers shall certainlypg 37 arrest answer fontaine desperately
199,madame fleury shake whole affair nothing
200,marsac advance fontaine whisper ear promise
201,promise isnt marry know
202,promise cant
203,wont
204,
205,know several men whopg 38 escape live widow fontaine thus urge marsac never resist life look helplessly friend landlady landlady back friend
206,promise marry worth good deal get room
207,madame fleury bring matter crisis ask smile shall gentlemenan engagement eviction fontaine could bring say word submit silently marsac take hand lead madame fleury place hand together say something dangerously near wink take lovely hand hold
208,quaff cup happiness hold lips
209,madame fleury exchange present name one distinguish name among great families francewhichpg 39 true enough far fontaines name concern
210,madame fleury whose principle get quickly awkward business ask marsac sit write little agreement sign fontaine
211,might well add name date fulfilment promise
212,let seethis 20th february pg 40 pause reflect
213,marsac seat reflect moment say 31st april 31st april reply madame fleury
214,first april would seem appropriate keep marsac gravely
215,dont trouble sarcastic monsieur marsac reply madame fleury cut emphasis
216,would admirably marry otherwise twentyninth february leap year oh think madame fleury condescend notice fling marsac write slowly proceed draw informal agreement marry marie fleury auguste fontaine
217,fontaine drop limp upon pg 41 chair sit bury arm picture misery
218,awkward humiliate smallest doubt marsac think capable meet emergency would eventually get scrape
219,madame fleury sign paper marsac call fontaine remain motionless without lift
220,thats way show please explain marsac serious manner
221,tell would delight know moment revel rapture rather singular manner show indeed say madame fleury vain enough think merely suddenness affair somewhat disconcert fontaine almost drag chair marsac sullenly sign thepg 42 paper take possession recommend act good faith madame fleury depart air person make successful stroke business
222,soon go fontaine loud groan throw sofa
223,even marsac begin somewhat frighten turn affairs
224,think unlikely prospect marry handsome young man far social position might really madame fleurys mind
225,would mention fear fontaine soon madame fleury safely hear marsac contrive raise burst rather hollow hysterical laughter
226,think imagine could trap us way
227,ha
228,ha fontaines reply depths sofa something groan howl moanedpg 43 know marsac love claire duval devilish madame fleury write promise bagatelle cry marsac still keep pretence laughter
229,suppose would let get trap could get give comfort fontaine sublime faith marsacs power well friendship
230,spite efforts marsac pretty soon give hilarious view situation
231,fontaine lay sofa groan kick occasionally sigh name claire duval
232,marsac look window prospect make chiefly chimneypots fine small rain begin fall first time realise truly desperate situation
233,half hour silence part complainings fontaines shadow old spirit come back marsac
234,pg 44 one us rich relation could murder
235,dont believe two fellows world near relations fontaine time sit sofa hand
236,presently say gloomy indifference uncle americanuncle mauricewho france twentyfive years last hear live fifteen cents day new york
237,hear roundabout way dead nothing leave anybody likely sigh marsac
238,american money soon part next moment fontaine believe last greatest misfortunes befall friend marsac leap begin charge room shout top lungs
239,hurrah
240,hurrah
241,unclepg 45 maurice die leave fortune
242,huzza
243,glorious idea
244,huzza uncle maurice fontaine stun first go marsac caper wildly voice tremulous apprehension deadly pale say dear kind marsac quiet pray
245,take misfortunes much heart unbalance
246,sit awhile moneythe poor lad sou two francsquite enough several days piteous see weak pretences
247,rattle two francs pocket try smile
248,marsac see dreadful think fontaines mind stop whoop seize fontaine arm cry honest little simpleton
249,course uncle maurice hasnt die leave fortune let world think see fortunespg 46 make
250,would paragraph like sound paper happy announce monsieur auguste fontaine brilliant young journalist inherit fortune oflet see easy give two million francs one millionfrom lately decease uncle monsieur maurice fontaine new york celebratedwineimporter say thats good decent business
251,work paragraph tell uncle maurice go traditions family enter trade sort thing
252,trust get fontaine delight find marsac crazy could nothing hug say marsac frighten begin talk may kill uncles aunts find kill
253,willwill dazzle story believe uncle whatshisname pg 47 dear fellow reply marsac high goodhumour dont know large human race go actually beg humbug
254,ever know wildly improbable story start yet wasnt readily believe
255,contradict believe
256,rate cant us harm nothing harm us present straits well people believe uncle maurice begin fontaine anxiously marsac cut short
257,believe uncle maurice
258,believe create myselfthat uncle maurice
259,dear kind old chap
260,feel shake hand persist fontaine madame fleury believe fortune wouldnt much difficult escape much betterpg 48 condition fight
261,boy dont refuse fortune two million francs even paper
262,continue marsac produce corner palette brush unfinished portrait spanish bullfighter look
263,make portrait uncle maurice bold stroke bullfighter assume appearance hale old gentleman sixty black coat white tie
264,time lose cry throw palette brush
265,ought afternoon paper
266,clock churchtower strike eleveni shall time yet go press
267,give shoe fontaine kick marsac put
268,hat betterpg 49 mine fontaine run fetch hat
269,let see paragraph ought write marsac seat fontaine hang rapidly write half page rise go cry keep heart old boy
270,marry yet long way monsieur fleury leave alone fontaine remain silent overwhelm various startle incidents befall morning
271,little one know think hour may bring forth
272,eleven oclock since ten oclock become engage marry find longlost uncle die leave two million francs slight sound cause raise saw letter push door
273,run forward open literally fell overpg 50 chair amazement chagrin
274,letter run dear nephew augustethe report reach family dead erroneous
275,much alive think soon revisit native land
276,hard struggle may meet flatter reception family really near relative feel quite able take care
277,may appear moment meet affectionate uncle maurice fontaine
278,fontaine rally enough run window call marsac back
279,late
280,marsac slip white paper hand turn corner
281,pg 51 chapter ii marsac return within three hours confront fontaine pale face uncle maurices letter
282,marsac stagger
283,paragraph already print afternoon paper contain cry street
284,read letter carefully lay say impossible return
285,live fifteen cents day twenty years must impair constitution degree cannot stand voyage fontaine already depths woe seem sink deeper deeper
286,marsac whose cheerfulness never leave
287,day two friends sit garret unable accountpg 52 fontaines dilapidate clothe marsacs want shoe go get anything eatfor could still go restaurant near newspaper office get dinner credit
288,shrink admit necessities ask advance business office newspaper
289,marsac spend day patch clean awkward industry fontaines tear coat trousers
290,never fontaine love admire
291,sing whistle day long make joke pretend without food fire rather amuse experience
292,nightfall hold tear soil coat trousers inspection
293,poor fellow do best clearly presentable
294,even courage spirit desert
295,laugh failure say gaily well boy tale make tell get richpg 53 half pleasure rich people consist tell happy second shirt back moment servant establishment open door without ceremony thrust huge box name charlevois tailor
296,scarcely door shut two young men tear open box
297,lay several suit handsomest mourn clothe imaginable hat gloves match top everything pin letter
298,charlevois one best tailor paris say take liberty send monsieur auguste fontaine several suit clothe ask inspection
299,read paper even monsieur maurice fontaines death wouldpg 54 glad supply monsieur auguste fontaines mourn
300,also son stationery business enclose sample stationery
301,two young men gaze intently
302,without word fontaine marsacs help put even suit topcoat crapecovered hat black gloves
303,certainly look handsome new outfit
304,almost first time life ever really well dress elegantly simple costume bring aristocratic beauty
305,marsac look delight mother beautiful daughter dress first ball
306,fontaine walk survey satisfaction crack mirror
307,examine old coat trousersthey look worse ever comparison
308,silence say eloquently cannot take gentlemanly habiliments 55 put hat
309,marsac move toward door pause
310,rubicon say marsac
311,rubicon pass reply fontaine step
312,go restaurant credit dinner see twenty persons acquaintance
313,approach desk enter cashier handsome girl glance afternoon paper contain paragraph uncle maurice
314,recognise fontaine see
315,wish private room gentlemen ask
316,certainly answer marsac solemnly think
317,auguste would rather dine public today fontaine shake two friends silence fontaine eye bend mourn hat carry go private diningroom 56 obsequious waiter bring card
318,marsac order excellent dinner champagne
319,come sight almost much poor halfstarved young fellows
320,first time really din weeks
321,make excuse send waiter room hug begin dance wildly barely time return scuttle back chair pull long face devour fish flesh fowl entres horsdoeuvres everything else eatable
322,marsac waiters absence beg fontaine spare candelabra fontaine catch marsac act chew paper marrons glacs
323,pg 57 say marsac waiter room keep trot may call first dress rehearsal
324,appear public tomorrowyou heir uncle maurice friend nephew uncle think deceive waiter anxiously ask fontaine
325,perfectly
326,never saw us order dinner hope see us order good many like
327,look solemnhe come waiter come find marsac urge fontaine eat seem depths despondency
328,time come fee man fontaine say sadly marsac must pay tonight
329,forget change clothe certainly reply marsac clap hand pocket produce two francsthe last earth take precautionpg 58 bring himand hand waiter
330,two francs make everybody restaurant believe story fontaines fortune
331,dinner last three hours go home fontaine write note blackedged paper editor paper la lune ask leave absence days owe loss near relative
332,marsac take office
333,fellowworkers crowd round ask question paragraph appear afternoon
334,marsac confirm declare get particulars amount fortune
335,say three millions add entire accuracy
336,next day paris ring story
337,cannot deny marsac fontaine little frighten sudden overpower success little romance
338,notpg 59 count upon instant enormous sensation create
339,retreat
340,commit uncle maurice abide invention tax even marsacs power meet emergency
341,fontaine simply declare could face world new character keep close lodgings avoid interrogatories
342,naturally still set story legs begin receive letter condolence mix congratulations force reply paper black border inch deep sign inky sealingwax even begin believe uncle maurice die leave fortune
343,marsac remarkably clever brush make excellent picture uncle maurice transform bullfighter dint artistically smoke newness ofpg 60 paint take
344,however simply force invent biography uncle maurice name date events
345,first time ask uncle maurice make money oblige say represent make wineimporting line
346,moment think say mine operations say fontaine afterward take unawares hit upon winebusiness
347,explain go traditions family engage trade immensely successful forgive
348,draw noble picture uncle mauricefor look fontaine profit old gentleman least give good character
349,adorn every virtue
350,could come life sure would please reputation give pg 61 marsac alive
351,madden part
352,suppose real uncle maurice come walk fine daywhat would say say good morning monsieur fontaine delight see
353,cigar
354,hear dead old gentleman would please find alive would forgive us anything among first persons hear story madame fleury hardest task marsac stop entresol one morning inquiry whether story true fontaines uncles death
355,alas
356,true reply marsac sorrowfully
357,think monsieur auguste inform say madame fleury consider relations ah madame widow canpg 62 idea bashfulness young man like fontaine first love affair
358,relations men women change
359,barely thirty remember lady diffident
360,last diffident woman understand secure jardin des plant madame fleury hear smile play round handsome mouth
361,hardly think engagement monsieur auguste fontaine call love affair
362,business arrangement pure simple
363,however story uncle maurice fortune true shall look forward satisfaction ever 15th may
364,monsieur fontaine call see occasionally bashfulness madame fleurypure bashfulness
365,tell men women change place
366,predictpg 63 years young man think call fiance years back fiance would call madame fleury hear utter marsacs airiest manner inscrutable smile
367,marsac leave presence hours labour explanations slightest certainty whether believe uncle maurice
368,rather think last remarkwhich monsieur fontaine really inherit two million francs would glad two hundred owe
369,however get two hundred francs fontaine would like get oyster strawberry bed
370,days go get great many things like mourn clothe blackedged paper pursue tradesmen desire open account
371,franc
372,absence thepg 64 newspaper office cut small salary din favourite restaurant every day smoke best cigars enjoy luxuries often one sou rattle another
373,marsac keep courage though tell something would soon turn would enable pay debts escape madame fleurys house live like lord
374,happy event accomplish marsac promise fontaine rid madame fleury position ask hand claire duval fontaine grow every day passionately love although months since see
375,whenever fontaines courage fail marsac always hold hope marry claire
376,let catch old duvali dont like go search himcried marsac give account willpg 65 throw daughter
377,sweet girl believe really love marriage sure
378,thing conscience put noose around neck noose
379,garland mean
380,ah could live claire wife
381,infernal widow downstairs dont speak fiance disrespectful manner cry marsac time dodge fontaines new hat fly direction
382,pg 66 one night six weeks uncle maurices advent fontaine garret wait marsac return
383,room shabby ever fontaine dress height although still deepest mourn
384,bright face walk whistle jovially hand trousers pocket empty usual strike contrast livery woe
385,fontaine occasionally spasms fear concern ruse twentyfive good appetite enough satisfy love hope friend like marsac one apt whistle jovially
386,one corner room delicious supper set outsent restaurant two young men patronise liberally
387,rickety write lay letter bear stamp one lead theatres paris
388,intervals walk wonder marsac late fontainepg 67 would read reread letter evident delight
389,last fontaine begin impatient walk marsac carry violincase hand
390,open without word take four bottle champagne
391,solemn silence remove tall hat prove full flower arrange middle supper
392,ask fontaine surprise
393,ladies supper gravely reply marsac
394,fontaine astound
395,marsac habitually run away respectable women declare afraid another kind nothing pity pg 68 refine honourable soul leave harder hearts evil natures condemnation sin sin
396,fontaine utter one word ladies yes say marsac ladies youfor women halfstarved hardworking
397,matter balletgirls thirdrate theatre
398,listen
399,come home saw two poor creatures stand front pastry shop close eye cake window without sou buy anything
400,overhear sorrowfully recall last franc go white satin shoe ballet next week
401,hungrypg 69 felt pocket well heart money
402,credit though thank admirable uncle maurice good supper home say warm fill
403,grade society bind conventionalities quite will go anywhere good meal
404,tell slip conciergethey minutesand go get wine flower make little feast poor souls fontaine better worse nights work marsac best fellow ever live cry fontaine hug
405,fontaine always hug marsac marsac always respond pat father give small boy
406,read letter continue thrust letterpg 70 marsacs hand
407,run follow
408,auguste fontaine
409,dear sirhappening days ago read account deserve good fortune remember correspondence regard playa white marriage chance look box day discover play lie whole year fate unworthy great merit could occur astonish forgetfulness part
410,make ten thousand apologies assure loss mine since read piece beg honour present gaiet theatre
411,write play must command success cannot understand public presume
412,therefore present sit wait critics explain play rest world
413,one bind give different explanation get quarrel fortune make
414,essential drama today complex complex nobody author know devil play whatpg 71 problems prove disprove place upon pinnacle ibsen maaterlinck rest dutch shakspeares
415,ibsen skirt dance go nowadays
416,slight tendency clearness must remedied wish really great modern dramatist
417,play really vicious enough wife merely give husband opiate escape lover instead drive imperative fate give quart corrosive sublimate
418,minor fault work great villany obscurity prolixity hope privilege present
419,truly
420,savary manager gaiet theatre
421,fontaine caper gleefully marsac read letter hand another note seem give almost equal pleasure
422,picturedealer briefly announce offer thousand francs make rough sea hesitate take price mark picturefiftypg 72 something couldnt fifty francs
423,fifty francs cry marsac thousand francs
424,good heavens
425,shall rich rothschilds shall able get away quarter dreadful woman downstairs shall marry claire duval fontaines reply hum little song refrain claire love thee presently make sigh look gloomy
426,marsac know turn thoughts take say slyly meet old duval today fontaine jump shoot
427,say
428,claire
429,go let infernal confinement go see darling fie
430,fie
431,engage man cry marsac fontaine groan tear hair
